tag,norm_val
Golang,1.0
PostgreSQL,0.6964285714285714
Git,0.4375
Linux,0.3125
Go,0.25892857142857145
SQL,0.25
Docker,0.19642857142857142
RabbitMQ,0.1875
MongoDB,0.17857142857142858
Python,0.16964285714285715
Английский — B1 — Средний,0.16071428571428573
Kubernetes,0.14285714285714285
golang,0.13392857142857142
Английский язык,0.13392857142857142
MySQL,0.125
Английский — A1 — Начальный,0.09821428571428571
Nginx,0.09821428571428571
kubernetes,0.09821428571428571
REST,0.08928571428571429
ООП,0.08928571428571429
C++,0.08928571428571429
docker,0.08928571428571429
Redis,0.08928571428571429
Английский — B2 — Средне-продвинутый,0.08035714285714286
Gitlab,0.08035714285714286
Docker&Kubernetes,0.08035714285714286
CI/DI,0.08035714285714286
Java,0.07142857142857142
Elasticsearch,0.07142857142857142
gRPC,0.0625
NoSQL,0.0625
Atlassian Jira,0.0625
Kafka,0.0625
Умение принимать решения,0.0625
Умение работать в команде,0.0625
go,0.0625
Bash,0.05357142857142857
Работа в команде,0.05357142857142857
PHP,0.05357142857142857
