tag,norm_val
Python,1.0
SQL,0.7389380530973452
Английский — B1 — Средний,0.3008849557522124
Linux,0.2853982300884956
PostgreSQL,0.2853982300884956
Spark,0.2809734513274336
SCALA,0.2588495575221239
Hadoop,0.25
Data Mining,0.2013274336283186
Английский язык,0.17699115044247787
NoSQL,0.168141592920354
Flink,0.16150442477876106
kafka,0.1592920353982301
Greenplum,0.1570796460176991
Git,0.15486725663716813
DBA,0.15486725663716813
Java,0.1504424778761062
Английский — B2 — Средне-продвинутый,0.13274336283185842
Big Data,0.12168141592920353
Математическая статистика,0.12168141592920353
MS SQL,0.11283185840707964
ETL,0.11061946902654868
Data Analysis,0.10619469026548672
Анализ данных,0.08628318584070796
C++,0.06858407079646017
Tableau,0.06637168141592921
Базы данных,0.06415929203539823
ORACLE,0.05530973451327434
DWH,0.05530973451327434
Kafka,0.05309734513274336
Docker,0.05309734513274336
Статистический анализ,0.05309734513274336
Математическое моделирование,0.05088495575221239
MS SQL Server,0.05088495575221239
MS PowerPoint,0.05088495575221239
Аналитические исследования,0.046460176991150445
Работа с базами данных,0.04424778761061947
Agile Project Management,0.03982300884955752
Atlassian Jira,0.03982300884955752
