tag,norm_val
Linux,1.0
Python,0.5555555555555556
Git,0.45306513409961685
Bash,0.4013409961685824
Docker,0.39080459770114945
Kubernetes,0.3438697318007663
PostgreSQL,0.3275862068965517
CI/CD,0.24042145593869732
Администрирование серверов Linux,0.2260536398467433
Nginx,0.22126436781609196
Ansible,0.21168582375478928
SQL,0.1896551724137931
Английский язык,0.18869731800766285
Jenkins,0.18295019157088122
MySQL,0.1724137931034483
Zabbix,0.16091954022988506
DevOps,0.15804597701149425
Английский — B1 — Средний,0.15421455938697318
Английский — B2 — Средне-продвинутый,0.15134099616858238
AWS,0.12931034482758622
Java,0.11685823754789272
CentOS,0.09865900383141762
MongoDB,0.0842911877394636
TCP/IP,0.07854406130268199
Atlassian Jira,0.07662835249042145
Prometheus,0.07471264367816093
MS SQL,0.06417624521072797
Azure,0.0603448275862069
Terraform,0.05938697318007663
Grafana,0.05842911877394636
Redis,0.05363984674329502
Unix,0.05172413793103448
docker,0.04885057471264368
Работа в команде,0.04885057471264368
Администрирование,0.04789272030651341
Agile Project Management,0.04789272030651341
RabbitMQ,0.04597701149425287
ELK,0.045019157088122604
TeamCity,0.04310344827586207
