,noExperience,between1And3,between3And6,moreThan6,mean
DBA,40000,300000,260000,350000,280000.0
Golang,35000,200000,300000,450000,250000.0
Rust,,250000,210000,,230000.0
Scala,,100000,350000,,225000.0
Data engineer,70000,150000,250000,300000,200000.0
DevOps,60000,150000,250000,300000,200000.0
Android,90000,140000,250000,250000,195000.0
Data scientist,25000,135000,250000,160000,192500.0
Java,70000,145000,230000,250000,187500.0
iOS,60000,100000,250000,335000,175000.0
Python,60000,127500,200000,300000,163750.0
Ruby,18000,110000,200000,,155000.0
1С программист,50000,120000,180000,200000,150000.0
c%2B%2B,73000,115500,170000,230000,142750.0
C%23,50000,100000,185000,300000,142500.0
Javascript,80000,100000,180000,250000,140000.0
Frontend,46500,100000,174000,205600,137000.0
QA,50000,90000,180000,250000,135000.0
php,49000,100000,150000,200000,125000.0
ABAP,,150000,,330000,
