,noExperience,between1And3,between3And6,moreThan6,mean
программист,60000,100000,200000,250000,150000.0
машинист,68000,110000,164000,175000,137000.0
инженер,80000,110000,150000,150000,130000.0
директор,60000,100000,159000,200000,129500.0
токарь,65000,100000,145000,135000,122500.0
врач,78200,100000,130000,120000,115000.0
сварщик,90000,100000,120000,170000,110000.0
менеджер,70000,90000,130000,120000,110000.0
чпу,70000,100000,120000,150000,110000.0
нефть,60000,100000,115725,350000,107862.5
повар,62000,80000,100000,130000,90000.0
водитель,95000,85000,90000,90000,87500.0
бухгалтер,52200,70000,100000,120000,85000.0
курьер,80000,90000,80000,120000,85000.0
электрик,70000,80000,90000,65000,85000.0
юрист,50000,75000,92000,100000,83500.0
матрос,50000,60000,106000,,83000.0
слесарь,70000,80000,83100,90000,81550.0
финансист,60000,75000,80000,100000,77500.0
комплектовщик,72747,75000,80000,70000,77500.0
разнорабочий,70000,70000,77500,33000,73750.0
сантехник,55000,70000,70000,80000,70000.0
тракторист,70000,70000,70000,50,70000.0
медсестра,58000,66500,66000,65000,66250.0
охранник,35000,46850,80000,62500,63425.0
продавец,55000,63000,60000,47534,61500.0
уборщица,40000,47000,70000,80000,58500.0
дворник,40000,47000,70000,80000,58500.0
учитель,40000,50000,60000,55000,55000.0
психолог,35000,45000,60000,79975,52500.0
санитарка,37500,50000,45000,,47500.0
