Date,tag,val
2025-06-01,Работа с большим объемом информации,1.0
2025-06-01,Работа в команде,0.9236641221374046
2025-06-01,Деловое общение,0.9236641221374046
2025-06-01,Английский язык,0.916030534351145
2025-06-01,Обучение и развитие,0.8244274809160306
2025-06-01,Ответственность,0.6641221374045801
2025-06-01,Грамотная речь,0.6335877862595419
2025-06-01,Деловая переписка,0.6183206106870229
2025-06-01,Деловая коммуникация,0.5954198473282443
2025-06-01,Телефонные переговоры,0.5725190839694656
2025-06-01,Активные продажи,0.549618320610687
2025-06-01,Клиентоориентированность,0.549618320610687
2025-06-01,Коммуникабельность,0.5038167938931297
2025-06-01,Аналитическое мышление,0.4580152671755725
2025-06-01,Консультирование клиентов,0.4580152671755725
2025-06-01,Пользователь ПК,0.4503816793893129
2025-06-01,Ориентация на результат,0.3969465648854962
2025-06-01,Навыки продаж,0.3587786259541984
2025-06-01,Ведение переговоров,0.3511450381679389
2025-06-01,1С программирование,0.3358778625954198
2025-06-01,Внимательность,0.3358778625954198
2025-06-01,Организаторские навыки,0.3129770992366412
2025-06-01,1С: Предприятие 8,0.3129770992366412
2025-06-01,Работа с клиентами,0.3129770992366412
2025-06-01,Грамотная устная речь,0.2900763358778626
2025-06-01,Работа с возражениями,0.2748091603053435
2025-06-01,Обучаемость,0.2748091603053435
2025-06-01,Заключение договоров,0.2671755725190839
2025-06-01,Проведение презентаций,0.2519083969465648
2025-06-01,Подготовка презентаций,0.2442748091603053
2025-06-01,Навыки презентации,0.2290076335877862
2025-06-01,Грамотная письменная речь,0.2290076335877862
2025-06-01,Сопровождение клиентов,0.2213740458015267
2025-06-01,1С: Бухгалтерия,0.2213740458015267
2025-06-01,Умение работать в коллективе,0.2137404580152671
2025-06-01,Умение работать в команде,0.1984732824427481
2025-06-01,Стрессоустойчивость,0.1984732824427481
2025-06-01,Работа с CRM,0.1984732824427481
2025-06-01,Выявление потребностей,0.1908396946564885
2025-06-01,Документооборот,0.183206106870229
2025-06-01,Прямые продажи,0.183206106870229
2025-06-01,Подбор персонала,0.183206106870229
2025-06-01,B2B Продажи,0.183206106870229
2025-06-01,Пунктуальность,0.1755725190839694
2025-06-01,Навыки переговоров,0.1679389312977099
2025-06-01,Теплые продажи,0.1603053435114503
2025-06-01,Исполнительность,0.1526717557251908
2025-06-01,Работа с базами данных,0.1526717557251908
2025-06-01,Бухгалтерский учет,0.1450381679389313
2025-06-01,Дорожное строительство,0.1450381679389313
2025-06-01,Гражданское строительство,0.1450381679389313
2025-06-01,Точность и внимательность к деталям,0.1450381679389313
2025-06-01,Холодные продажи,0.1450381679389313
2025-06-01,Бизнес-анализ,0.1450381679389313
2025-06-01,Работа с оргтехникой,0.1450381679389313
2025-06-01,1С: Управление Торговлей,0.1374045801526717
2025-06-01,Работоспособность,0.1374045801526717
2025-06-01,Малоэтажное строительство,0.1374045801526717
2025-06-01,Интернет-реклама,0.1374045801526717
2025-06-01,Консультативные продажи,0.1297709923664122
2025-06-01,Документальное сопровождение,0.1297709923664122
2025-06-01,Бетонные работы,0.1297709923664122
2025-06-01,Высотные работы,0.1297709923664122
2025-06-01,Коттеджное строительство,0.1297709923664122
2025-06-01,Поиск и привлечение клиентов,0.1297709923664122
2025-06-01,ООП,0.1297709923664122
2025-06-01,Навыки межличностного общения,0.1221374045801526
2025-06-01,Планирование продаж,0.1221374045801526
2025-06-01,Умение учиться,0.1221374045801526
2025-06-01,Первичная бухгалтерская документация,0.1221374045801526
2025-06-01,Аналитический склад ума,0.1221374045801526
2025-06-01,Бустинг,0.1145038167938931
2025-06-01,1с,0.1145038167938931
2025-06-01,рейдер,0.1145038167938931
2025-06-01,Сбор и анализ информации,0.1145038167938931
2025-06-01,игрок,0.1145038167938931
2025-06-01,Работа с документами,0.1145038167938931
2025-06-01,Бустер,0.1145038167938931
2025-06-01,мифик+,0.1145038167938931
2025-06-01,подземелья,0.1145038167938931
2025-06-01,Монтаж металлоконструкций,0.1145038167938931
2025-06-01,Геймер,0.1145038167938931
2025-06-01,Игры,0.1145038167938931
2025-06-01,рейды,0.1145038167938931
2025-06-01,Удалённая работа,0.1145038167938931
2025-06-01,прокачка,0.1145038167938931
2025-06-01,Анализ данных,0.1145038167938931
2025-06-01,Онлайн игры,0.1145038167938931
2025-06-01,1С: Документооборот,0.1145038167938931
2025-06-01,Грамотность,0.1068702290076335
2025-06-01,Финансовая отчетность,0.1068702290076335
2025-06-01,Яндекс.Директ,0.1068702290076335
2025-06-01,Настройка ПК,0.1068702290076335
2025-06-01,Договорная работа,0.1068702290076335
2025-06-01,Бумажный документооборот,0.099236641221374
2025-06-01,Управление временем,0.099236641221374
2025-06-01,Управление проектами,0.099236641221374
2025-06-01,Ведение отчётности,0.099236641221374
2025-06-01,Планирование карьеры,0.099236641221374
