Murex ECM,Murex Environment Management Consultant,Jakarta/ ID,
Murex BO,Mizuho Regulatory Murex BA,Remote United States/ US,
Murex BO,Mizuho Regulatory Murex BA,Remote Mexico/ MX,
Murex BO,Mizuho Regulatory Murex BA,Remote Canada/ CA,
Murex BO,Mizuho Regulatory Murex BA,Remote Brazil/ BR,
Java,Java Developer (with React),Bengaluru/ IN,
Automated Testing Others,Latency Testing QA Engineer,Remote India/ IN,
Functional/System Analysis,IT Risk and Control Specialist,Krakow/ PL,
Other Packaged Software,SAP - Business Object Data Service Developer,Remote India/ IN,
Other Packaged Software,XSA Developer,Remote India/ IN,
Murex ECM,Murex Environment Management Consultant,Bengaluru/ IN,
Technical Support (SL1),Technical Support Engineer,Remote Indonesia/ ID,
BPM Pega,Pega Senior System Architect,Remote India/ IN,
DevOps,Senior DevOps,Bengaluru/ IN,
Murex ECM,Murex BAU Support Consultant (with MLC),Remote India/ IN,
DevOps,DevOps Engineer,Warsaw/ PL,
DevOps,DevOps Engineer,Krakow/ PL,
IT Infrastructure Engineering,Integration Release Manager,Remote India/ IN,
Java,Senior Java Developer,Remote Serbia/ RS,
Automated Testing Others,Senior QA Automation (Python/ C)Engineer,Remote India/ IN,
Database Administration,Informix and Snowflake DBA Regular,Bengaluru/ IN,
Product Owner,Business Analyst,Remote Romania/ RO,
BPM RPA,RPA Tester,Remote Ukraine/ UA,
BPM RPA,RPA Tester,Remote Romania/ RO,
BPM RPA,RPA Tester,Remote Poland/ PL,
Manual Testing,Manual Test Engineer,Stuttgart/ DE,
Software/System Architecture,Solution Architect,Washington/ D. C./ US,
Java,Senior Java Developer,Remote Germany/ DE,
Murex Datamart,Murex Datamart Developer,Pune/ IN,
Murex BO,Murex Accounting Consultant,Pune/ IN,
Murex MxML,MxML Consultant,Pune/ IN,
Manual Testing,Regular Manual QA Engineer,Remote Bulgaria/ BG,
Java Full Stack,Senior Full Stack (Node.js/ React),Remote Poland/ PL,
C/C++ AUTOSAR,Senior C++ Developer,Remote Germany/ DE,
C/C++ AUTOSAR,C++ Software Developer,Remote Germany/ DE,
Murex ECM,Murex Environment Management Consultant,Remote India/ IN,
SQL (PL/SQL - Oracle),Oracle Data Integrator Developer,Gurgaon/ IN,
SQL (PL/SQL - Oracle),Oracle Data Integrator Developer,Bengaluru/ IN,
Manual Testing,Regular Manual QA,Remote Mexico/ MX,
Manual Testing,Regular Manual QA,Remote Brazil/ BR,
C#/VB.NET,Tech Lead/Senior C# Developer,Remote Ukraine/ UA,
Automated Testing Python,QA Automation (Video Test Suite),Remote Poland/ PL,
Java Full Stack,Software Developer - Full Stack,Remote Serbia/ RS,
Java Full Stack,Software Developer - Full Stack,Remote Poland/ PL,
Java Full Stack,Software Developer - Full Stack,Remote Mexico/ MX,
Java,Java Developer,Remote Poland/ PL,
Other Consulting,FIS Balance Sheet Manager,Remote United Arab Emirates/ AE,
Delivery Project Management,Senior Project Management Officer/ PMO,Gurgaon/ IN,
Murex ECM,BAU Support Murex Consultant,Remote India/ IN,
Software/System Architecture,Senior Software Architect (React Native and Java/Kotlin or Obj-C/Swift),Remote United States/ US,
Software/System Architecture,Senior Software Architect (React Native and Java/Kotlin or Obj-C/Swift),Remote Mexico/ MX,
Software/System Architecture,Senior Software Architect (React Native and Java/Kotlin or Obj-C/Swift),Remote Canada/ CA,
DevOps,Deployment Engineer for Azure Stack,Remote India/ IN,
BigData Development,Senior Data Engineer w/ Palantir (onsite role in Atlanta/New Jersey/Plano),Plano/ US,
Java Full Stack,Senior Full-stack Developer,Weehawken/ US,
BPM Appian,Senior Appian Developer,Remote Poland/ PL,
Java,Team Lead Java,Remote Ukraine/ UA,
Manual Testing,Senior Manual QA,Remote Mexico/ MX,
Murex ECM,Murex BAU Support Analyst,Warsaw/ PL,
Java,Senior Software Developer - Java/Golang,Remote United States/ US,
ETL (Informatica/ Ab Initio etc.),Senior SSIS Developer,Gurgaon/ IN,
ETL (Informatica/ Ab Initio etc.),Senior SSIS Developer,Bengaluru/ IN,
DevOps,Technical Support and Integration of Automated Warehouse Management Systems,Lelystad/ NL,
Database Administration,Senior PostgreSQL DBA,Bengaluru/ IN,
Front-end Angular,Frontend Intern (Angular),Remote Ukraine/ UA,
UI/UX Design,UI Developer,Bengaluru/ IN,
Python,Python Full-Stack Developer,Bengaluru/ IN,
Data Science,Data Scientist,Bengaluru/ IN,
Front-end React,React Developer,Wroclaw/ PL,
Front-end React,React Developer,Warsaw/ PL,
Front-end React,React Developer,Krakow/ PL,
DevOps,Senior GKE Infrastructure Engineer,Remote Ukraine/ UA,
DevOps,Senior GKE Infrastructure Engineer,Remote Poland/ PL,
DevOps,Regular Sys Engineer/DevOps VDI Engineer (w/ Infrastructure and Ansible),Remote Romania/ RO,
Front-end React,Senior UI React Developer,Pune/ IN,
DevOps,Senior Platform Developer,Remote India/ IN,
Technical Support (SL1),L1 IT Support Agent India,Remote India/ IN,
Java,Junior Java Developer,Remote Romania/ RO,
C#/VB.NET,Senior .NET Engineer,Remote Ukraine/ UA,
C#/VB.NET,Senior .NET Engineer,Remote Poland/ PL,
Automated Testing Others,Senior JavaScript QA Engineer,Remote Romania/ RO,
Automated Testing Others,Senior QA Automation,Remote Romania/ RO,
Automated Testing Others,Senior QA Automation,Remote Poland/ PL,
Automated Testing Others,Senior QA Automation,Remote Mexico/ MX,
Automated Testing Others,Senior QA Automation,Remote Bulgaria/ BG,
Automated Testing Others,Senior QA Automation,Remote Brazil/ BR,
DevOps,Senior DevOps Engineer,Bucharest/ RO,
Business Analysis,SeniorBusiness Analyst,Bucharest/ RO,
Automated Testing Java,Senior QA Automation Engineer,Bucharest/ RO,
Java,Senior Microservices Developer,Remote India/ IN,
Technical Support (SL1),L1 Production Support Engineer,Hyderabad/ IN/ IN,
Other Scripting Languages,Senior Flutter Developer,Remote Poland/ PL,
PMA,PMO Specialist,Singapore/ SG,
System Administration,Senior Network Engineer,Bengaluru/ IN,
C/C++,C/C++/Objective C Software Engineer,Bengaluru/ IN,
C/C++,Test Station HW/SW Developer,Bengaluru/ IN,
Java,Senior Java Developer,Pune/ IN,
C/C++,Senior Software Engineer C++,Guadalajara/ MX/ MX,
System Administration,Principle Network Engineer,Remote India/ IN,
C Embedded,Embedded C Software Engineer,Ho Chi Minh City/ VN,
C Embedded,Senior Embedded C Software Engineer,Ho Chi Minh City/ VN,
C/C++,Senior C++ 3D Algorithm Developer,Remote Serbia/ RS,
Android,Senior Software Developer - React Native,Remote Poland/ PL,
Android,Senior Software Developer - React Native,Remote Brazil/ BR,
Java,Senior Software Developer - Java/Golang,Remote Romania/ RO,
Java,Senior Software Developer - Java/Golang,Remote Poland/ PL,
C Embedded,Power Management Firmware Engineer,Bengaluru/ IN,
Automated Testing Python,Python Automation Developer,Wroclaw/ PL,
Automated Testing Python,Python Automation Developer,Warsaw/ PL,
Automated Testing Python,Python Automation Developer,Krakow/ PL,
Automated Testing Java,Senior Java SDET,Remote Serbia/ RS,
Functional Safety,Safety Engineer,Remote Spain/ ES,
Functional Safety,Safety Engineer,Remote Italy/ IT,
Automated Testing Java,QA Test Automation Lead,Bucharest/ RO,
C/C++,Senior C++ Developer,Remote India/ IN,
Product Owner,Business Analyst,Remote Poland/ PL,
Murex Others,Java Developer with Murex experience (Any Module),Bengaluru/ IN,
Functional Safety,Safety Engineer,Remote Germany/ DE,
SQL (MySQL/ T-SQL/ Teradata etc.),TSQL and Batch Developer,Wroclaw/ PL,
Manual Testing,Manual QA Engineer HMI,Farmington Hills/ US,
Axiom,AxiomSL Developer,Remote United States/ US,
Axiom,AxiomSL Developer,Remote Mexico/ MX,
Axiom,AxiomSL Developer,Remote Canada/ CA,
Axiom,AxiomSL Developer,Remote Brazil/ BR,
Axiom,AxiomSL Developer,Pittsburgh/ US,
Axiom,AxiomSL Developer,Cleveland/ US/ Ohio/ US,
Automated Testing Python,QA Automation (Video Test Suite),Krakow/ PL,
Java Full Stack,Software Developer - Full Stack,Remote Romania/ RO,
Java Full Stack,Software Developer - Full Stack,Remote Bulgaria/ BG,
Manual Testing,System Test Engineer,Prague/ CZ,
Other Scripting Languages,Adobe AEM Developer,Washington/ D. C./ US,
AI/ML,Audio Machine Learning Embedded Application / ML Deployment Lead,Remote United Kingdom/ GB,
AI/ML,Audio Machine Learning Embedded Application / ML Deployment Lead,Remote Poland/ PL,
Automated Testing Others,Latency Testing QA Engineer,Remote Mexico/ MX,
Python,Senior Python engineer (with DevOps experience),Remote Mexico/ MX,
BPM Appian,Senior Appian Developer,Bengaluru/ IN,
BPM Appian,Senior Appian Developer,Bengaluru/ IN,
DevOps,Senior DevOps Engineer,Remote Poland/ PL,
Manual Testing,Senior Test Engineer,Sofia/ BG,
DevOps,DevOps Engineer with C#,Wroclaw/ PL,
C#/VB.NET,Full Stack .Net Engineer,Remote India/ IN,
Technical Project Management,Project Manager,Remote United States/ US,
Technical Project Management,Project Manager,Remote Romania/ RO,
Technical Project Management,Project Manager,Remote Poland/ PL,
Technical Project Management,Project Manager,Remote Mexico/ MX,
Technical Project Management,Project Manager,Remote Canada/ CA,
Technical Project Management,Project Manager,Remote Brazil/ BR,
Manual Testing,Geoscience Tester (intern),Remote Ukraine/ UA,
Automated Testing C#,Regular Automation Test Engineer,Eden Prairie/ US,
Java Full Stack,Java Full stack with Angular,Cairo/ EG,
Application Security,Intern Security Analyst,Remote Ukraine/ UA,
Front-end Angular,Intern Web Developer with 2D-3D Graphics,Remote Ukraine/ UA,
Java,Regular Java Developer,Remote Ukraine/ UA,
Java,Regular Java Developer,Remote Poland/ PL,
Java,Senior Java Developer,Remote Ukraine/ UA,
Java,Senior Java Developer,Remote Poland/ PL,
Other Packaged Software,Salesforce Developer,Bucharest/ RO,
Java,Senior Java Developer,Bengaluru/ IN,
ETL (Informatica/ Ab Initio etc.),AbInitio Developer,Bengaluru/ IN,
JavaScript,JavaScript (Vue.js) Developer,Sofia/ BG,
Other Packaged Software,SAP Lead Security Engineer,Eindhoven/ NL,
Android,Senior Android Application Engineer,Remote Poland/ PL,
Other Vendor specific (Quantum/ Coremont etc.),IntelliMatch Reconciliation Specialist - Senior BA,Bengaluru/ IN,
Murex BO,Murex Connectivity 2.0 Developer,Bengaluru/ IN,
Technical Support (SL3),Support Engineer (SL3),Remote Ukraine/ UA,
Java,Senior Microservices Developer,Remote India/ IN,
Java,Microservices Developer/ Java,Pune/ IN,
C Embedded,Senior Embedded C Developer,Bucharest/ RO,
IT Infrastructure Engineering,Cloud Operations Analyst,Remote India/ IN,
Automated Testing Others,Test Automation Engineer,Sofia/ BG,
Technical Project Management,Technical Project Manager with Excel Add-in,Bucharest/ RO,
DevOps,Azure DevOps Engineer,Remote Romania/ RO,
Automated Testing Others,Itential Automation Engineer,Remote India/ IN,
C/C++,Principal C++ Software Systems Engineer,Remote India/ IN,
Release Management,Release Manager,Bucharest/ RO,
Murex Datamart,Murex Datamart Developer,Remote India/ IN,
Murex Datamart,Murex Datamart Developer,Bengaluru/ IN,
Cybersecurity,Security Governance Consultant,Shanghai/ CN,
Cybersecurity,Security Governance Consultant,Beijing/ CN,
Cybersecurity,Security Technology Consultant,Shanghai/ CN,
Cybersecurity,Security Technology Consultant,Beijing/ CN,
Murex MxML,Murex MxML Consultant,Hyderabad/ IN/ IN,
Java,Senior Java Developer,Pune/ IN,
Java,Senior Java Developer,Bucharest/ RO,
Java,Senior Java Software Developer,Remote Egypt/ EG,
Functional/System Analysis,Function Owner/System Engineer (Japanese speaker),Tokyo/ JP,
BPM Appian,Appian Senior Developer,Bengaluru/ IN,
Murex MxML,Murex MxML Consultant,Mumbai/ IN,
Murex MxML,Murex MxML Consultant,Hyderabad/ IN/ IN,
BigData Development,Solution Deployment Architect,Riyadh/ SA,
Java,Senior Java & Python Developer,Remote Romania/ RO,
Temenos,Multifonds Developer,Remote India/ IN,
Calypso,Senior Calypso Collateral Business Analyst,Gurgaon/ IN,
Murex ECM,Murex Production Support Consultant,Bengaluru/ IN,
Murex ECM,Murex Environment Production Support Consultant,Hyderabad/ IN/ IN,
C Embedded,ABL Firmware Developer,Bengaluru/ IN,
C Embedded,BIOS/UEFI Developer with Coreboot experience,Bengaluru/ IN,
DevOps,Senior DevOps Engineer,Seoul/ KR,
Murex ECM,Lead BAU Support Murex Consultant,Remote India/ IN,
Axiom,Regulatory Reporting Project Manager,Pune/ IN,
Other Consulting,Business Analyst - Xceptor,Bengaluru/ IN,
Other Consulting,Business Consultant (C1-C2 DE language skills),Dresden/ DE,
IT Infrastructure Engineering,VDI Engineer,Bengaluru/ IN,
BigData Development,Cloud Engineer with Python,Hyderabad/ IN/ IN,
Software - Other,Senior ServiceNow Developer,Remote India/ IN,
Java,Senior Java Developer,Dresden/ DE,
Java Full Stack,Java Architect with Cloud Backend Microservices,Pune/ IN,
Java Full Stack,Java Architect with Cloud Backend Microservices,Bengaluru/ IN,
BI Engineering,Data Engineer,Remote Belgium/ BE,
Android,Android BSP Senior Developer,Bengaluru/ IN,
Software - Other,Lead ServiceNow Developer,Remote India/ IN,
Murex ERM,Murex Market Risk Consultant,Singapore/ SG,
Automated Testing Java,Senior QA Automation Engineer,Bucharest/ RO,
Other Vendor specific (Quantum/ Coremont etc.),Neoxam Consultant,Singapore/ SG,
SQL (MySQL/ T-SQL/ Teradata etc.),TSQL and Batch Developer,Wroclaw/ PL,
BigData Development,Senior Data Engineer w/ Palantir (onsite role in Atlanta/New Jersey/Plano),Jersey City/ US,
BigData Development,Senior Data Engineer w/ Palantir (onsite role in Atlanta/New Jersey/Plano),Atlanta/ US,
Java Full Stack,Senior Fullstack Developer (Java/ React),Remote Ukraine/ UA,
Java,Senior Java Developer,Wroclaw/ PL,
Test Management,Senior Test/Integration Manager,Turin/ IT,
Technical Support (SL1),Trade Support Analyst (with Capital Markets experience),Singapore/ SG,
FusionRisk,Senior Functional Consultant (Risk Management),Anywhere/ WW,
DevOps,DevOps Engineer with C#,Warsaw/ PL,
DevOps,DevOps Engineer with C#,Krakow/ PL,
Python,Senior Data Engineer,Remote Poland/ PL,
BigData Development,Senior Databricks Data Engineer,Abu Dhabi/ AE,
Delivery Project Management,Senior Project Manager,Washington/ D. C./ US,
Java,Senior Java and C++ Software Developer,Remote United States/ US,
Java,Senior Java and C++ Software Developer,Remote Canada/ CA,
Murex MxML,Murex Consultant - Datamart/MxML,Bengaluru/ IN,
C#/VB.NET,Senior Full-stack Engineer,Wroclaw/ PL,
C#/VB.NET,Senior Full-stack Engineer,Krakow/ PL,
Python,Senior Python Software Engineer,Wroclaw/ PL,
Python,Senior Python Software Engineer,Krakow/ PL,
Other Packaged Software,Peoplesoft Developer,Remote India/ IN,
Other Packaged Software,Peoplesoft Developer,Chennai/ IN,
Java Full Stack,Java Full-stack Developer,Pune/ IN,
Functional Safety,Safety Manager,Remote Egypt/ EG,
Functional Safety,Senior Safety Engineer,Remote Egypt/ EG,
Java,Senior Java Developer,Wroclaw/ PL,
Java Full Stack,Senior Full-stack Developer,Wroclaw/ PL,
Android,Senior Android Developer,Remote Mexico/ MX,
Requirements Engineering,BSW Requirements Engineer,Bengaluru/ IN,
Scrum Master,Scrum Master,Bengaluru/ IN,
Integration Engineering,Integration Engineer,Remote Poland/ PL,
Front-end React,Regular Front-End React Developer,Remote India/ IN,
Java Full Stack,Java Backend Developer,Sofia/ BG,
Automated Testing Others,Senior Automation QA with Tosca,Remote India/ IN,
Python,Senior Python Developer,Remote Poland/ PL,
Automated Testing Java,QA Automation Engineer,Pune/ IN,
