,percent
OpenGL,175
cmake,98
gamedev,342
Boost,86
Unity,168
unreal engine,448
docker,90
Unix,98
Multithread Programming,82
ARM,73
iOS,78
Android,56
Bash,51
PostgreSQL,46
qml,40
Game Programming,33
SQL,25
Linux,21
C,29
TCP/IP,20
algorithms,221
golang,65
ci/cd,53
STL,10
HTTP,58
C/C++,5
opencv,22
Qt,4
C++,0
Shell Scripting,97
Win32 Api,49
GCC,37
Windows API,80
UDP,141
embedded,18
Git,-1
MS SQL,4
Python,-8
NoSQL,30
gitlab,0
Jenkins,55
Eclipse,33
MFC,12
CUDA,5
SIP,23
STM32,18
Windows,-14
SQLite,20
MySQL,-21
JavaScript,-19
Java,-40
SVN,-34
MS Visual Studio,-42
ORACLE,-1
GUI,53
MS Visual C++,-11
Android SDK,-5
Design Patterns,-15
Программирование 3D-графики,28
Redis,14
C#,-57
iot,88
DirectX,0
PHP,10
MATLAB,-42
posix,35
Atlassian Jira,-48
Scrum,-54
HTML,-43
solid,4
Cистемы управления базами данных,-39
Unit Testing,-46
VoIP,-10
Redmine,13
Mac Os,-58
OpenCL,14
UML,3
.NET Framework,-54
HTML5,10
XML,-35
API,1
computer vision,-21
REST,2
RTOS,-40
UI,-16
Lua,-44
Objective-C,-41
MS SQL Server,-14
rust,-1
TCP,-8
RabbitMQ,12
lock-free,13
Open Source,37
fault tolerance,-5
asynchronious sockets,-5
multiprocessing,-7
real-time failover,-7
low latency,-8
Sailfish OS,13
MQL5,-15
Big Data,-16
IPC,-15
FreeRTOS,-31
