,percent
ml,172
pyspark,389
numpy,139
A/B тесты,199
pandas,86
airflow,193
pytorch,83
scipy,175
mlflow,274
scikit-learn,135
PostgreSQL,82
docker,72
Spark,62
apache airflow,261
computer vision,69
Big Data,49
matplotlib,141
xgboost,86
nlp,43
catboost,161
machine learning,39
hive,66
data science,38
hadoop,39
clickhouse,42
data scientist,46
sklearn,36
keras,37
Python,0
SQL,0
Teamleading,69
deep learning,8
API,58
tensorflow,-6
Git,-19
plotly,137
Data Analysis,-22
Power BI,20
Linux,-31
it,-22
JavaScript,81
recommender systems,86
lightgbm,74
ETL,0
kafka,32
seaborn,49
CV,-7
RecSys,31
R,-46
opencv,-40
a/b-experiments,56
bert,69
MongoDB,-7
MS SQL,-59
MySQL,0
DL,40
Google Analytics,31
MS SQL Server,-24
Data Mining,-90
Java,-71
scala,-60
Mathematical Statistics,-41
ORACLE,-57
C++,-85
tableau,-48
natural language processing,15
sas,-59
Oracle Pl/SQL,-24
presto,12
PyCharm,103
Apache Spark,-34
aws,-48
Agile Project Management,-84
Django Framework,-56
jupyter notebook,133
Statistica,-77
VBA,-49
elasticsearch,-58
dwh,-53
Unix,-9
OCR,19
azure,-62
Time Series Analysis,-27
Analytical skills,-61
Scrum,-72
grafana,-74
neural nets,-36
search ranking,-35
SPSS,-52
PHP,-44
gpt-3,-40
