,percent
dwh,162
airflow,201
clickhouse,158
apache airflow,847
ETL,66
pyspark,370
Power BI,117
kubernetes,227
ml,83
A/B тесты,141
greenplum,94
Apache Kafka,353
numpy,78
PostgreSQL,33
pandas,37
Big Data,29
pytorch,35
matplotlib,110
MS Excel,33
BI,33
docker,27
machine learning,9
SQL,3
ORACLE,23
API,45
Python,0
scikit-learn,64
nlp,16
scipy,38
computer vision,33
data science,-4
Data Analysis,-6
Atlassian Confluence,38
tensorflow,3
MySQL,1
Databases,7
kafka,-8
SAP,28
Apache NiFi,41
MS SQL,-13
ci/cd,4
hadoop,-18
Data Governance,45
MS Outlook,80
tableau,-17
NoSQL,-13
Spark,-33
teradata,-11
Teamleading,19
Git,-40
data engineer,28
elasticsearch,24
deep learning,-17
ansible,41
sklearn,-13
PowerBI,-17
R,-28
Linux,-50
keras,-5
MS SQL Server,-39
vertica,-3
data scientist,7
grafana,-5
MongoDB,-36
Java,-59
Agile Project Management,-34
Project management,-12
hive,-54
aws,-48
MS Access,-46
it,-46
scala,-62
Cognos,-13
C/C++,0
Oracle Pl/SQL,-56
Django Framework,31
data engineering,-12
MS PowerPoint,-63
Data Mining,-85
opencv,-1
DAX,28
Bash,-57
JavaScript,-44
C#,-49
Atlassian Jira,-62
CRM,-4
C++,-62
MS Power BI,13
Google Analytics,-58
Qlik Sense,4
Scrum,-55
Apache Hive,-25
UML,-5
Business Intelligence Systems,-40
REST,-10
VBA,-23
Transact-SQL,-6
gitlab,-20
SSIS,-47
BigQuery,-41
rest api,-25
golang,-13
informatica,-28
