,percent
grafana,261
gitlab ci,262
prometheus,214
gitlab,169
devops,156
clickhouse,243
elk,184
helm,206
kubernetes,88
kafka,164
ci/cd,77
ansible,69
Unix Shell Scripts,231
Apache Kafka,363
elasticsearch,108
RabbitMQ,85
docker,39
terraform,57
IaC,151
Docker-compose,187
k8s,72
Jenkins,38
openshift,64
PostgreSQL,36
Zabbix,33
Nexus,95
Ubuntu,68
ORACLE,40
Redis,26
Администрирование серверов Linux,16
OpenStack,94
VMware,38
PowerShell,33
Node.js,78
Nginx,8
Proxmox,109
Bash,6
go,18
Linux,0
golang,12
azure devops,51
Ubuntu Server,26
Unix,7
haproxy,47
bitbucket,16
TCP/IP,-1
Groovy,11
Git,-15
Debian,2
Python,-17
KVM,14
MS SQL,-4
TeamCity,-9
SQL,-16
MongoDB,-16
HTTP,14
Администрирование серверов Windows,6
PHP,-21
MySQL,-34
Kibana,-1
Apache,-10
Ruby,2
MS SQL Server,-9
Java,-40
Windows Server,4
aws,-51
sre,-9
azure,-42
Atlassian Jira,-44
VPN,-6
Puppet,-25
Apache Maven,-21
JavaScript,-21
CentOS,-69
hadoop,-28
Atlassian Confluence,-24
RHEL,-1
CI,-55
DHCP,12
NoSQL,-45
C#,-54
HTML,4
Shell Scripting,-28
Scrum,-49
Настройка DNS,-11
blockchain,-26
Apache HTTP Server,-34
Hyper-V,-16
Perl,-47
Active Directory,-14
English,-35
Windows,-42
SSH,-58
Docker Swarm,-55
Gradle,-34
Cassandra,-46
