,percent
rest api,387
vuejs,412
typescript,134
docker,315
frontend,146
figma,163
Next.js,258
API,247
js,117
scss,128
PostgreSQL,124
angular,93
gitlab,326
Java Script,108
ci/cd,168
graphql,107
SSR,173
rxjs,103
REST,74
jest,104
mobx,79
Nuxt,87
HTTP,90
laravel,120
SQL,65
react,37
webpack,38
github,96
websocket,82
react native,62
nuxt.js,57
vue.js,18
ReactJS,26
HTML,13
UI,74
ES6,28
redux,13
solid,87
vue,12
JSON API,42
JavaScript,0
react.js,12
Scrum,25
Design Patterns,78
MySQL,2
Git,-11
Unit Testing,26
HTML/CSS,0
JSON,41
websockets,27
iOS,79
BEM,106
PHP,-3
Node.js,-16
CSS,-21
Agile,18
UX,18
Redis,63
Sass,-18
SASS/SCSS,0
web,53
Python,-1
Android,65
Atlassian Jira,-12
SOAP,56
CSS3,-28
Java,-5
HTML5,-35
1С-Битрикс,-1
React JS,55
Linux,-27
Ext JS,87
Ajax,-22
Gulp,-21
AngularJS,-49
React/Redux,-25
jQuery,-54
Bootstrap,-43
npm,8
jira,-2
C#,-10
Less,-56
SPA,-30
Axios,-1
vuex,-30
kubernetes,25
ES6+,26
XML,-16
Adobe Photoshop,-65
MongoDB,-41
Material UI,12
MVC,-13
Svelte,12
Nginx,-40
redux-saga,-13
blockchain,11
Pug,-26
English,-1
Vuetify,-9
Babel,-22
