,percent
Apache Kafka,261
github,315
kafka,54
API,103
clickhouse,55
rest api,83
kubernetes,41
highload,132
ssl,117
grafana,117
grpc,30
ci/cd,46
backend,41
docker,3
HTTP,41
go,-1
solid,138
JSON,164
PostgreSQL,-5
Consul,157
NoSQL,5
gitlab,5
golang,-8
RabbitMQ,-5
defi,139
Redis,-9
Protobuf,136
microservices,-2
REST,-27
Linux,-33
elasticsearch,-22
SQL,-34
ansible,119
Teamleading,2
nats,-16
Git,-45
MySQL,-43
Unit Testing,-14
Agile,54
prometheus,-31
graphql,-20
devops,-16
PHP,-52
websocket,-5
MongoDB,-54
kotlin,97
swagger,21
elk,8
SOAP,-23
Lua,-31
Python,-61
k8s,-53
aws,-55
Node.js,-52
Nginx,-51
Docker-compose,46
JavaScript,-57
php7,34
Java,-68
C#,-44
C/C++,-48
TDD,-50
react,12
remote,-50
C++,-86
iOS,-11
gitlab ci,5
MS SQL,-56
Atlassian Jira,-78
blockchain,-64
Android,-38
Postgres,14
Bash,-54
Scrum,-57
it,-88
DDD,-36
websockets,-31
js,47
TCP/IP,-67
azure,-87
HTML,-73
C,-72
Spring Framework,-43
Symfony,-55
Atlassian Confluence,-56
ethereum,-23
CI,-33
JSON API,-69
Django Framework,-63
Software Development,-46
cloud,-62
Ubuntu,-77
json-rpc,-24
solidity,-3
gin,-72
aerospike,-40
Couchbase,-7
google cloud platform,-32
vuejs,-37
gitflow,-57
