,percent
spring boot,281
kafka,270
kubernetes,275
Apache Kafka,478
API,396
RabbitMQ,258
QA,389
Selenium,541
Hibernate,176
ci/cd,213
docker,117
Multithread Programming,708
rest api,207
kotlin,99
Design Patterns,312
gitlab,263
Gradle,121
spring,96
Maven,100
java core,80
react,124
TeamCity,170
ORACLE,64
Selenium IDE,172
openshift,83
Databases,153
PostgreSQL,41
Spring Cloud,117
Spring MVC,164
microservices,69
Unit Testing,80
Jenkins,53
Redis,48
Spring Data,73
angular,142
TestNG,105
Cucumber,170
SOAP,31
selenide,98
JUnit,19
Java,0
REST,1
Liquibase,82
Agile,41
SQL,-7
camunda,69
JSON API,63
Atlassian Confluence,55
Python,13
Scrum,8
grpc,62
MS SQL,6
HTTP,30
Linux,-13
clickhouse,57
elasticsearch,20
XML,-6
solid,40
Spring Framework,-28
SVN,24
MySQL,-14
JPA,-7
Git,-30
NoSQL,-12
typescript,63
JMS,58
MongoDB,-15
Mockito,52
JDBC,-15
Android,0
Atlassian Jira,-34
JSP,1
JSON,37
JavaScript,-45
Java EE,-47
Apache Maven,-50
JVM,38
Hibernate ORM,-52
Java 11,28
Spring Security,35
Java Servlets,-27
graphql,44
Java SE,-55
hadoop,3
C++,-11
HTML,-51
aws,-39
Agile Project Management,-39
C#,0
Intellij IDEA,-49
scala,-43
jira,-19
Teamleading,0
OOP,-28
backend,-10
CSS,-57
Oracle Pl/SQL,-53
Apache Tomcat,-55
ORM,24
Groovy,-27
Postgres,12
Java 8,-49
jQuery,-52
TDD,-14
