,percent
QA,943
API,782
REST,293
Test case,268
docker,402
rest api,480
SOAP,208
RabbitMQ,244
Git,99
HTTP,207
kafka,264
Linux,90
Redis,159
Spring Framework,118
Atlassian Confluence,119
Java,85
JSON,250
MS Excel,96
BPMN,92
PHP,95
Atlassian Jira,80
PostgreSQL,55
kubernetes,153
JavaScript,43
Python,36
jira,128
HTML,41
Django Framework,89
UML,41
MySQL,34
Zabbix,145
clickhouse,169
react,78
SQL,0
JSON API,86
CSS,29
.net core,132
ci/cd,101
go,161
Power BI,-1
Scrum,38
XML,-8
Agile,148
MongoDB,43
Node.js,-4
Bash,29
C#,-38
Администрирование серверов Windows,-25
laravel,-7
Confluence,109
golang,8
Jenkins,47
Django,35
NoSQL,64
ASP.NET,-27
BI,27
hadoop,-34
pandas,33
it,50
Android,7
jQuery,-28
.NET Framework,-44
ml,70
Active Directory,-39
Data Analysis,-39
Nginx,-32
tableau,-46
Apache Maven,-10
MS SQL,-63
MS PowerPoint,-48
Big Data,-36
1С программирование,-36
ORACLE,-71
Ajax,-36
MS SQL Server,-78
TCP/IP,-41
Администрирование серверов Linux,-45
Oracle Pl/SQL,-91
Hyper-V,-21
C++,-39
dwh,-62
A/B тесты,27
Agile Project Management,-16
Hibernate ORM,-32
Cистемы управления базами данных,-61
HTML5,-48
ETL,-69
Transact-SQL,-86
1С: Управление Торговлей,-11
DHCP,-36
Unix,3
MVC,-44
VBA,-63
Java SE,32
JUnit,-14
1С-Битрикс,-57
Power Query,4
CRM,-31
Bootstrap,-45
VMware,-48
MS Visual Studio,-47
CSS3,-62
Entity Framework,-49
1С: Предприятие 8,-49
Настройка DNS,-55
Symfony,-57
