,percent
airflow,353
apache airflow,707
clickhouse,251
kubernetes,210
Apache Kafka,487
pyspark,362
dwh,167
Apache Spark,314
ETL,130
greenplum,150
ml,141
Power BI,170
machine learning,139
docker,79
ci/cd,122
Amazon Web Services,291
Apache Hive,157
devops,95
PostgreSQL,41
kafka,29
MongoDB,81
tableau,50
pandas,62
Cassandra,46
teradata,49
UML,79
Databricks,111
Spark,11
react,80
data science,25
grafana,59
hadoop,6
pytorch,47
Python,3
ansible,17
nlp,46
Snowflake,44
Data Analysis,9
Jenkins,16
Big Data,-4
nifi,83
SQL,-6
BPMN,30
it,13
Node.js,24
MySQL,6
Redis,44
NoSQL,-5
azure,17
hive,-19
MS SQL,-17
elasticsearch,-2
hdfs,12
JavaScript,-11
REST,-10
English,6
ORACLE,-37
prometheus,24
aws,-40
Linux,-52
MS Excel,11
scala,-57
Java,-60
BI,2
Bash,-49
Git,-61
Teamleading,28
Oracle Pl/SQL,-45
rest api,11
Agile Project Management,-47
Spring Framework,-75
MS SQL Server,-59
golang,6
RabbitMQ,-7
Data Mining,-81
C++,-78
HTML,-8
Flink,-66
tensorflow,-6
C#,-53
openshift,3
numpy,5
Django Framework,-62
k8s,21
CentOS,-8
go,1
CSS,1
Apache,39
elk,23
Apache Maven,-52
Scrum,-49
vertica,-29
QA,-29
terraform,-20
impala,-11
MS PowerPoint,-18
spring,-46
informatica,-15
kotlin,-47
Agile,-37
R,-36
Nginx,-1
Zabbix,-34
data engineering,-15
jupyter notebook,-47
