,percent
API,382
rest api,246
vuejs,319
PostgreSQL,135
docker,139
SQL,99
Redis,179
Python,141
ci/cd,266
RabbitMQ,193
kafka,273
Next.js,199
gitlab,276
kubernetes,152
nestjs,159
laravel,143
frontend,84
REST,63
scss,90
QA,93
github,295
figma,65
.net core,80
js,49
PHP,45
typescript,31
Nuxt,114
MySQL,41
solid,83
JSON API,96
nest.js,94
vue.js,37
jest,55
JSON,94
HTTP,58
Java Script,41
react native,24
webpack,17
Java,18
react,13
Linux,15
backend,42
Jenkins,54
nuxt.js,60
Playwright,133
graphql,14
jira,63
Nginx,51
nodejs,44
HTML,5
Node.js,1
ES6,15
ReactJS,11
SSR,75
ASP.NET,10
vue,4
asp.net core,40
C#,1
react.js,5
JavaScript,-8
MS SQL,11
Unit Testing,19
websocket,40
Express.js,91
mobx,9
MongoDB,1
angular,-8
redux,-9
Git,-11
swagger,22
UI,47
NoSQL,32
Scrum,0
CSS3,-24
CSS,-26
Atlassian Confluence,39
Sass,-16
golang,13
HTML5,-36
Atlassian Jira,-19
.NET Framework,-22
Ajax,13
SASS/SCSS,25
Bash,39
go,11
rxjs,-17
Spring Framework,-15
websockets,24
AngularJS,-47
SPA,-18
Gulp,20
iOS,18
jQuery,-44
HTML/CSS,-30
Bootstrap,-42
Symfony,-7
aws,-28
React/Redux,-37
Android,12
Less,-50
ES6+,-26
Entity Framework,-38
XML,-7
Agile,9
Express,13
MVC,-28
kotlin,-13
C++,-8
SOAP,-10
