,percent
Data_Engineer,39
React,43
Business_Analyst,24
engineer,48
AI,51
Credit,55
Office,21
Test,17
AWS,21
Solution,25
Embedded,58
Security,21
Integration,19
Release,127
ML,46
BI,44
Android,15
Designer,47
Tester,27
Python,7
Coordinator,39
Consultant,6
NET,19
Back,23
Technical,8
Product,30
Angular,9
Microservices,40
Specialist,6
Market,8
FO,11
Senior_Lead,26
Technical_Lead,69
MxML,5
JS,60
Team_Lead,27
Senior,0
Linux,7
Appian,33
Datamart,2
Test_Manager,3
BSW,30
Expert,1
BA,0
SME,2
Production,9
Full_Stack,-1
Business,3
Calypso,-1
consultant,35
Developer,-6
Regular,-3
Application,-1
support,1
Frontend,14
SQL,0
DevOps,-7
Risk,-7
Engineer,-9
IBM,27
domain,36
Development,11
Front,-8
Accounting,18
Network,-5
Treasury,9
Manual,-9
Murex,-12
Project_Manager,-10
Java,-12
API,32
QNX,18
Functional_Lead,17
HANA,40
Database,0
System_Analyst,-8
JavaScript,12
ServiceNow,21
Financial,3
MLC,30
Machine_Learning,8
MS,26
C++,-15
Azure,-15
Support,-16
Junior,-14
Software,-17
QA,-18
UI,-3
Automotive,-9
Automation,-21
QA_Analyst,29
Networking,-11
Drivers,-1
Systems,-1
Architect,-25
German,12
Lead,-25
Net,-23
Fullstack,-8
System,-25
Kafka,10
German_speaker,-22
Oracle,-14
Hogan,-2
relocation,-15
Tech_Lead,-10
Workday,0
Service,-18
MxTest,1
Environment_Manager,6
Performance,-10
Backend,-10
onsite,-17
End,-23
UX,-12
GPU,-3
Video,23
Wolfsburg,-31
Ingolstadt,-31
Master,-27
Scala,-24
Scrum,-28
ADAS,-2
Technical_Analyst,9
Neoxam,-11
Reporting,-23
Owner,-25
SAP,-39
Build,4
Data_Test_Lead,4
Mainframe,-27
Banking,-15
Functional,-42
Regulatory,-16
function,-5
developer,-46
js,5
Windows,-27
Kotlin,0
Prod,0
MuleSoft,0
Data_Scientist,0
Appium,0
BSS,0
Access_Management_Analyst,0
Product_Manager,0
trading,0
Matrix,0
Korean_speaker,0
Kernel,-13
Cloud,-53
Spark,-33
Safety,-45
Identity,-7
C#,-55
Administrator,-48
Now,-15
Testing,-33
ASPICE,-2
Markets,-45
Data_Test_Analyst,-2
Monitoring,-2
Finance,-42
data,-6
PostgreSQL,-25
stack,-36
ETL,-40
Capital,-58
Infrastructure,-37
PLC,-44
Data_Analyst,-36
Framework,-28
Pega,-47
Environment_Management,-10
Trade,-21
amp,-17
Full,-36
Temenos,-61
Cyber,-47
Classic,-36
iOS,-27
Partner,-35
on,-20
Director,-27
Technician,-9
Eindhoven,-11
Trading,-51
markets,-33
Data_Architect,-28
Principal,-19
SDET,-18
Salesforce,-7
Integrator,-74
DB,-16
Services,-34
platform,-32
AUTOSAR,-46
skills,-36
Data_,-15
Techno,-56
Core,-28
Axiom,-58
SW,-29
Node,-10
Quality,-45
Mobile,-39
Support_Analyst,-38
Tech,-35
Algorithm,-11
Native,-41
Moody,-27
Snowflake,-54
Audio,-31
Safety_Manager,-34
Intern,-57
Driver,-32
Experience,-35
BW,-37
