,percent
solid,318
rest api,268
API,207
RabbitMQ,192
js,220
clickhouse,246
docker,126
kafka,223
vuejs,317
bitrix,152
backend,137
kubernetes,228
golang,141
laravel,52
ci/cd,169
elasticsearch,105
Битрикс24,121
vue.js,95
yii2,43
DDD,161
typescript,131
Redis,21
REST,34
go,75
react,47
PostgreSQL,7
MariaDB,117
Symfony,5
gitlab,72
PHP,0
Bitrix24,54
JSON API,16
NoSQL,14
highload,117
Composer,17
MongoDB,-8
SQL,-11
CMS Wordpress,-1
github,27
Codeigniter,41
Linux,-16
aws,73
vue,2
ReactJS,134
Nginx,-10
MySQL,-27
Sphinx,33
1С-Битрикс,-25
SOAP,0
PHPUnit,-9
Git,-31
PSR,69
ORM,19
JSON,19
Битрикс 24,-9
CSS3,-29
HTML,-36
graphql,30
MS SQL,-25
Unix,-5
HTML5,-34
SEO,107
Memcached,-22
ORACLE,34
JavaScript,-43
PHP7+,36
Node.js,-31
HTTP,-9
Java,-19
Python,-29
Bootstrap,-39
php7,-42
CSS,-46
jQuery,-46
Yii,-46
HTML/CSS,-33
Java Script,-27
Scrum,-29
Teamleading,-11
Agile,3
bitrix framework,7
MVC,-56
Zend Framework,-39
Ajax,-58
PHP5,-75
Jetbrains Phpstorm,-20
TDD,-7
XML,-56
Atlassian Jira,-58
jira,-20
Joomla CMS,-28
Cистемы управления базами данных,-10
Unit Testing,-46
Bash,0
phpMyAdmin,-43
D7,0
CRM,-40
AngularJS,-66
SVN,-45
Atlassian Confluence,-19
Kibana,-49
