,percent
rest api,254
API,153
Apache Kafka,443
BPMN,125
kafka,93
spring boot,133
SOAP,121
UML,89
JSON,297
grpc,179
RabbitMQ,81
REST,77
XML,95
devops,143
clickhouse,126
swagger,192
gitlab,87
ci/cd,73
golang,51
kubernetes,47
HTTP,84
QA,82
go,41
postman,74
it,52
grafana,69
JSON API,61
kotlin,41
typescript,38
MS SQL,29
laravel,45
Redis,25
Hibernate,94
elasticsearch,43
PostgreSQL,13
ORACLE,28
Jenkins,24
docker,8
elk,55
openshift,53
pytest,71
.net core,11
Agile,31
NoSQL,20
react,10
SOA,33
Python,-2
Java,-4
solid,22
microservices,19
SQL,-6
gitlab ci,43
Atlassian Confluence,6
spring,14
Zabbix,20
ansible,1
ASP.NET,-2
Bash,-2
Unit Testing,16
backend,6
C++,7
Atlassian Jira,-12
camunda,15
PHP,-15
Django Framework,-5
ETL,36
vue.js,27
Entity Framework,9
MongoDB,-16
C#,-17
Spring Framework,-21
Nginx,-8
celery,27
.NET Framework,-13
Linux,-25
Agile Project Management,-8
Flask,10
MySQL,-31
prometheus,-9
Scrum,-22
Symfony,-19
Teamleading,8
Git,-41
JUnit,0
Node.js,-31
JavaScript,-38
hadoop,8
Spring Data,29
HTML,-26
js,13
Hibernate ORM,-37
Spring Cloud,3
Администрирование серверов Linux,-9
Apache Maven,-19
graphql,-9
terraform,-8
CSS,-33
HTML5,-7
redux,3
MS SQL Server,-9
DDD,-13
angular,-17
TCP/IP,-25
Selenium,-42
Java SE,-33
Unix,-24
