,change
Boost,86
OpenGL,175
cmake,98
gamedev,340
PostgreSQL,46
docker,72
Bash,51
Linux,21
Unity,168
SQL,25
iOS,78
ARM,65
Android,56
unreal engine,457
Game Programming,33
QML,46
C/C++,5
TCP/IP,20
STL,10
Multithread Programming,63
Unix,98
Qt,4
C++,0
Git,-1
C,29
Python,-8
algorithms,298
MS Visual Studio,-42
MySQL,-21
C#,-57
Java,-40
JavaScript,-19
SVN,-34
Windows,-14
gitlab,0
golang,52
opencv,1
MS SQL,-1
Atlassian Jira,-40
MATLAB,-38
Windows API,64
ci/cd,45
HTML,-31
Unit Testing,-33
TCP,21
HTTP,28
embedded,16
GCC,39
CUDA,7
MS Visual C++,-4
RTOS,-32
Design Patterns,-25
NoSQL,57
Win32 Api,24
ORACLE,-25
MFC,-12
posix,63
STM32,18
API,13
SQLite,15
MS SQL Server,2
PHP,4
SIP,8
UML,-5
solid,-2
GUI,114
DirectX,-3
VoIP,0
Redis,13
Big Data,-17
Программирование 3D-графики,33
REST,3
OpenCL,22
lock-free,28
