,change
ml,171
pandas,89
pytorch,82
numpy,106
Spark,62
Big Data,49
machine learning,38
data science,34
nlp,43
pyspark,255
hadoop,36
docker,60
Python,0
scikit-learn,123
SQL,0
PostgreSQL,82
computer vision,73
airflow,188
A/B тесты,99
API,172
deep learning,7
tensorflow,-5
mlflow,129
scipy,136
Data Analysis,-22
Git,-19
clickhouse,31
hive,48
keras,32
Linux,-31
sklearn,-8
catboost,38
matplotlib,114
Data Mining,-90
it,-25
MS SQL,-59
data scientist,23
C++,-85
Java,-68
R,-46
xgboost,52
scala,-57
ETL,13
opencv,-44
Power BI,8
ORACLE,-52
lightgbm,44
Teamleading,69
CV,-7
kafka,92
sas,-59
JavaScript,40
MongoDB,-32
Tableau,-59
Mathematical Statistics,-36
Google Analytics,-13
MS SQL Server,-32
natural language processing,0
seaborn,17
MySQL,0
Apache Spark,-61
Oracle Pl/SQL,-19
AWS,-49
