,0
pyspark,296
airflow,213
kubernetes,207
dwh,162
clickhouse,156
A/B тесты,132
Power BI,117
numpy,85
ml,83
ETL,66
pytorch,45
pandas,45
greenplum,43
PostgreSQL,33
MS Excel,33
Big Data,29
docker,29
API,28
ORACLE,23
Databases,23
Teamleading,20
Atlassian Confluence,19
BI,18
nlp,16
machine learning,14
computer vision,9
scikit-learn,5
SQL,3
teradata,1
Python,0
MySQL,-4
data science,-5
Data Analysis,-6
rest api,-6
kafka,-7
SAP,-7
PowerBI,-7
data scientist,-7
Apache Hive,-8
tensorflow,-8
CRM,-8
NoSQL,-13
MS SQL,-13
keras,-14
Data Engineering,-15
hadoop,-17
Tableau,-17
ci/cd,-17
vertica,-21
sklearn,-22
grafana,-23
deep learning,-24
MS Access,-24
Atlassian Jira,-27
R,-28
Spark,-33
Project management,-34
VBA,-35
MongoDB,-36
MS SQL Server,-39
Git,-40
Agile Project Management,-41
it,-46
AWS,-48
hive,-49
Linux,-50
C++,-51
Oracle Pl/SQL,-56
MS PowerPoint,-57
Java,-59
scala,-63
Data Mining,-79
