,0
clickhouse,272
grafana,265
gitlab ci,257
Prometheus,221
helm,211
ELK,184
gitlab,169
Docker-compose,163
devops,160
kafka,152
elasticsearch,109
openshift,99
IaC,97
kubernetes,88
RabbitMQ,85
ci/cd,77
ansible,70
OpenStack,69
k8s,68
terraform,60
Ubuntu,52
Node.js,48
Nexus,48
docker,39
VMware,38
Jenkins,38
PostgreSQL,36
ORACLE,35
PowerShell,33
Groovy,33
Zabbix,33
Ubuntu Server,27
Redis,26
go,25
Администрирование серверов Linux,16
Nginx,8
Unix,7
Bash,6
sre,5
HTTP,3
Bitbucket,3
golang,1
Linux,0
TCP/IP,-1
KVM,-1
Debian,-2
Windows Server,-2
MS SQL,-4
Администрирование серверов Windows,-5
Atlassian Confluence,-7
JavaScript,-7
MS SQL Server,-8
TeamCity,-9
Git,-15
MongoDB,-16
SQL,-16
Ruby,-16
Python,-17
PHP,-21
Shell Scripting,-25
Apache Maven,-26
Puppet,-29
MySQL,-34
Java,-40
azure,-41
NoSQL,-43
Atlassian Jira,-44
AWS,-51
CentOS,-69
