,0
vuejs,440
rest api,423
docker,341
API,228
Next.js,194
frontend,173
Figma,150
scss,139
typescript,135
PostgreSQL,124
js,117
ci/cd,114
graphql,107
Angular,95
Jest,89
Java Script,89
REST,74
rxjs,73
React Native,70
mobx,69
laravel,67
SQL,65
UI,62
Agile,60
Nuxt.js,56
HTTP,55
Nuxt,54
github,53
WebSocket,52
UX,48
websockets,47
webpack,42
JSON API,38
react,37
Android,36
ES6,28
ReactJS,26
Scrum,25
Unit Testing,16
JSON,16
react.js,15
vue.js,15
Python,15
redux,13
HTML,13
vue,11
ES6+,7
Axios,6
C#,4
MySQL,2
JavaScript,0
HTML/CSS,0
PHP,-3
React/Redux,-5
1С-Битрикс,-6
SASS/SCSS,-10
Git,-11
Atlassian Jira,-12
Node.js,-16
Sass,-18
Gulp,-21
CSS,-21
Ajax,-22
Java,-25
Vuex,-26
Linux,-27
CSS3,-28
SPA,-30
HTML5,-35
MongoDB,-37
Bootstrap,-43
AngularJS,-49
jQuery,-54
Less,-56
