,0
Apache Kafka,268
Consul,157
JSON,152
solid,121
ssl,117
grafana,117
API,90
highload,83
clickhouse,57
kafka,55
backend,49
ci/cd,46
rest api,45
kubernetes,41
grpc,35
HTTP,32
Agile,23
WebSocket,14
gitlab ci,8
gitlab,8
NoSQL,5
docker,3
Teamleading,2
go,-2
RabbitMQ,-5
PostgreSQL,-5
golang,-8
Redis,-9
SOAP,-15
DDD,-16
devops,-16
ELK,-17
Unit Testing,-17
Microservices,-21
solidity,-22
elasticsearch,-22
graphql,-23
REST,-27
iOS,-28
nats,-29
Prometheus,-31
Linux,-33
SQL,-34
Android,-38
Spring Framework,-41
Lua,-41
MySQL,-43
Git,-45
Bash,-48
C/C++,-48
MS SQL,-52
C#,-52
Node.js,-52
Nginx,-52
PHP,-52
MongoDB,-54
TCP/IP,-57
AWS,-58
Scrum,-60
JavaScript,-60
Python,-61
Django Framework,-62
Symfony,-66
k8s,-67
Java,-68
HTML,-69
TDD,-72
C,-74
Atlassian Jira,-76
C++,-77
it,-89
