,change
1С программирование,148
1С: Предприятие 8,142
MS Excel,110
Python,117
SQL,90
Git,97
BPMN,320
Java,85
1С: Бухгалтерия,182
HTML,71
MS Office,75
Adobe Photoshop,89
SMM,218
JavaScript,49
1С: Управление Торговлей,194
PHP,71
QA,138
UML,222
Linux,41
PostgreSQL,190
CSS,41
B2B Продажи,65
MS PowerPoint,-21
docker,115
ORACLE,138
MS Word,101
MS SQL,20
CRM,-7
SEO,99
1С: Документооборот,35
excel,2
Битрикс24,157
Internet Marketing,83
MySQL,38
Adobe Illustrator,131
react,57
MS Outlook,-37
Google Docs,43
AutoCAD,9
golang,181
REST,72
XML,91
1C: Бухгалтерия,19
Spring Framework,73
C#,24
1С: Зарплата и управление персоналом,45
Internet,7
MS Access,-46
C++,-1
Atlassian Jira,62
SMS маркетинг,-66
Project management,-13
Обновление конфигурации 1С,34
1C: Предприятие,1
SEO оптимизация,27
HR,28
Power BI,88
HTTP,55
ml,73
Scrum,141
SOAP,15
E-Mail Marketing,-33
HTML5,2
Digital Marketing,-7
1С: Предприятие,117
1С-Битрикс,31
Google Analytics,41
VBA,132
MS SQL Server,15
1С: Управление Производственным Предприятием,73
Social Media Marketing,9
Android,-27
Data Analysis,5
1С: Комплексная автоматизация,18
it,60
Sales Skills,51
C/C++,21
MS Visio,15
Adobe After Effect,2
ERP,63
Google AdWords,43
B2C продажи,-1
iOS,-13
jQuery,26
kotlin,41
TCP/IP,-3
go,54
