,change
kafka,281
spring boot,290
docker,122
kubernetes,275
RabbitMQ,258
kotlin,102
Apache Kafka,421
Hibernate,176
PostgreSQL,41
spring,93
QA,340
API,251
ORACLE,64
java core,80
Gradle,110
Java,0
ci/cd,139
Maven,89
SQL,-7
JUnit,19
REST,1
Jenkins,53
SOAP,31
rest api,161
Spring Framework,-28
Redis,48
Git,-30
Linux,-13
Design Patterns,277
Microservices,63
Hibernate ORM,-52
react,108
Apache Maven,-50
MySQL,-14
Java EE,-47
Unit Testing,64
JavaScript,-45
MongoDB,-15
Scrum,8
Java SE,-55
Atlassian Jira,-34
XML,-6
openshift,9
Python,13
NoSQL,-12
JDBC,-15
MS SQL,6
Spring Cloud,104
JPA,-7
Agile,63
Spring MVC,183
HTML,-51
Spring Data,38
CSS,-50
Selenide,84
elasticsearch,16
Oracle Pl/SQL,-31
AWS,-16
Java Servlets,-16
SVN,46
Apache Tomcat,-37
HTTP,20
JSP,0
camunda,93
JSON API,43
Intellij IDEA,-52
Android,2
solid,27
Atlassian Confluence,19
clickhouse,50
Agile Project Management,-31
C++,-8
Java 11,39
JSON,18
Spring Security,31
C#,-11
JMS,16
backend,-32
