,0
Apache Kafka,421
QA,340
spring boot,290
kafka,281
Design Patterns,277
kubernetes,275
RabbitMQ,258
API,251
Spring MVC,183
Hibernate,176
rest api,161
ci/cd,139
docker,122
Gradle,110
react,108
Spring Cloud,104
kotlin,102
camunda,93
spring,93
Maven,89
Selenide,84
java core,80
ORACLE,64
Unit Testing,64
Agile,63
Microservices,63
Jenkins,53
clickhouse,50
Redis,48
SVN,46
JSON API,43
PostgreSQL,41
Java 11,39
Spring Data,38
SOAP,31
Spring Security,31
solid,27
HTTP,20
Atlassian Confluence,19
JUnit,19
JSON,18
elasticsearch,16
JMS,16
Python,13
openshift,9
Scrum,8
MS SQL,6
Android,2
REST,1
JSP,0
Java,0
XML,-6
SQL,-7
JPA,-7
C++,-8
C#,-11
NoSQL,-12
Linux,-13
MySQL,-14
MongoDB,-15
JDBC,-15
AWS,-16
Java Servlets,-16
Spring Framework,-28
Git,-30
Agile Project Management,-31
Oracle Pl/SQL,-31
backend,-32
Atlassian Jira,-34
Apache Tomcat,-37
JavaScript,-45
Java EE,-47
Apache Maven,-50
CSS,-50
HTML,-51
Intellij IDEA,-52
Hibernate ORM,-52
Java SE,-55
