,0
vuejs,596
API,428
kubernetes,300
RabbitMQ,299
frontend,286
rest api,272
docker,257
nest.js,251
ci/cd,208
github,201
laravel,191
backend,190
js,176
Next.js,174
Redis,165
typescript,163
graphql,157
JSON,128
PostgreSQL,126
Figma,105
Nuxt.js,97
JSON API,92
ReactJS,91
scss,89
NoSQL,83
Nginx,82
React Native,82
REST,82
PHP,81
websockets,79
kafka,77
ES6,77
mobx,76
SQL,69
webpack,69
Design Patterns,62
WebSocket,62
golang,56
vue.js,48
HTML/CSS,48
Java Script,46
Express.js,44
HTTP,43
MVC,43
Express,42
C++,41
.net core,41
react.js,40
Node.js,37
nodejs,32
Python,32
Unit Testing,32
react,25
Linux,23
C#,23
vue,19
Ajax,9
MySQL,9
MongoDB,8
HTML,7
SPA,6
it,1
Angular,0
JavaScript,0
redux,0
Jest,0
Git,-1
AWS,-2
Scrum,-9
Java,-13
ASP.NET,-16
Symfony,-16
MS SQL,-17
CSS3,-20
Nuxt,-22
CSS,-22
Sass,-23
Bootstrap,-31
HTML5,-32
Yii,-40
jQuery,-42
Atlassian Jira,-51
AngularJS,-73
yii2,-74
