,change
fastapi,1133
pytest,501
Django,215
docker,129
kubernetes,399
kafka,291
API,187
rest api,271
ci/cd,227
RabbitMQ,111
QA,184
sqlalchemy,289
Celery,114
clickhouse,154
Redis,32
Python,0
PostgreSQL,0
REST,39
Bash,81
SQL,-16
Flask,-1
NoSQL,112
Linux,-19
asyncio,44
Selenium,113
backend,49
Git,-39
react,90
MongoDB,-18
Django Framework,-53
Spark,139
aiohttp,31
JavaScript,-39
ETL,147
golang,47
MySQL,-54
C++,-28
HTML,-32
HTTP,51
AWS,-26
pandas,25
Atlassian Jira,-46
elasticsearch,39
CSS,-56
Nginx,-20
Unit Testing,25
Java,-30
TCP/IP,161
django rest framework,35
redux,92
numpy,78
MS SQL,-22
go,30
it,81
typescript,154
Jenkins,-3
Test case,93
Big Data,32
JSON,216
C#,48
Node.js,23
Scrum,-22
ml,6
PHP,-20
Unix,-49
iOS,-17
Selenium IDE,-19
Agile,51
Qt,170
XML,-19
solid,42
airflow,46
Android,27
Tornado,92
drf,14
azure,34
SOAP,24
MATLAB,36
ansible,31
