,change
Git,99
REST,293
Linux,90
API,738
Java,85
PostgreSQL,55
Atlassian Jira,80
docker,330
Test case,82
rest api,279
Python,36
BPMN,92
SQL,0
MS Excel,91
JavaScript,43
SOAP,175
PHP,66
HTML,41
Atlassian Confluence,109
Spring Framework,84
UML,41
MySQL,34
kafka,123
XML,-8
Power BI,-7
C#,-38
CSS,29
MS SQL,-63
Redis,53
Oracle Pl/SQL,-90
ORACLE,-71
MS SQL Server,-78
Django Framework,38
MS PowerPoint,-45
ETL,-71
dwh,-59
JSON,204
react,55
Tableau,-47
jira,68
Cистемы управления базами данных,-61
Администрирование серверов Windows,-54
.NET Framework,-44
Node.js,-20
ASP.NET,-28
Bash,0
Scrum,39
Data Analysis,-29
laravel,-7
Ajax,-57
TCP/IP,-51
Active Directory,-39
Entity Framework,-34
JSON API,62
HTML5,-69
jQuery,-46
1С программирование,-33
clickhouse,140
Администрирование серверов Linux,-65
MongoDB,9
CSS3,-61
Agile,179
Hibernate ORM,-18
Big Data,-30
C++,-36
1С: Предприятие 8,-37
NoSQL,-17
Nginx,-53
Django,61
BI,18
pandas,52
Jenkins,54
Agile Project Management,-18
it,47
Power Query,4
