,change
PostgreSQL,135
docker,142
SQL,99
rest api,246
typescript,31
API,326
Python,141
frontend,102
REST,63
vue.js,46
Redis,179
vuejs,404
react,13
RabbitMQ,181
MySQL,41
HTML,5
Node.js,1
webpack,21
JavaScript,-8
js,49
QA,93
ci/cd,245
PHP,45
scss,80
Linux,15
Next.js,129
Git,-11
Java,18
kubernetes,95
redux,-8
vue,8
C#,1
Angular,-8
React Native,24
gitlab,179
react.js,8
CSS,-26
MongoDB,1
ReactJS,11
CSS3,-24
HTML5,-36
graphql,14
mobx,19
Figma,56
.net core,78
laravel,88
Sass,-16
ASP.NET,-5
Java Script,22
AngularJS,-47
NestJS,72
Jest,63
Scrum,0
Atlassian Jira,-19
.NET Framework,-28
MS SQL,-21
ES6,5
Nuxt,99
jQuery,-44
HTML/CSS,-11
JSON,153
HTTP,26
solid,29
nest.js,82
Bootstrap,-42
Less,-48
React/Redux,-22
Unit Testing,30
jira,58
rxjs,-19
JSON API,23
ASP.NET Core,34
SPA,-13
Spring Framework,-1
backend,-16
WebSocket,80
Entity Framework,-44
UI,53
SOAP,6
