,0
vuejs,404
API,326
rest api,246
ci/cd,245
RabbitMQ,181
gitlab,179
Redis,179
JSON,153
docker,142
Python,141
PostgreSQL,135
Next.js,129
frontend,102
SQL,99
Nuxt,99
kubernetes,95
QA,93
laravel,88
nest.js,82
scss,80
WebSocket,80
.net core,78
NestJS,72
REST,63
Jest,63
jira,58
Figma,56
UI,53
js,49
vue.js,46
PHP,45
MySQL,41
ASP.NET Core,34
typescript,31
Unit Testing,30
solid,29
HTTP,26
React Native,24
JSON API,23
Java Script,22
webpack,21
mobx,19
Java,18
Linux,15
graphql,14
react,13
ReactJS,11
react.js,8
vue,8
SOAP,6
ES6,5
HTML,5
C#,1
Node.js,1
MongoDB,1
Scrum,0
Spring Framework,-1
ASP.NET,-5
redux,-8
JavaScript,-8
Angular,-8
Git,-11
HTML/CSS,-11
SPA,-13
Sass,-16
backend,-16
Atlassian Jira,-19
rxjs,-19
MS SQL,-21
React/Redux,-22
CSS3,-24
CSS,-26
.NET Framework,-28
HTML5,-36
Bootstrap,-42
Entity Framework,-44
jQuery,-44
AngularJS,-47
Less,-48
