,change
Business_Analyst,24
Consultant,7
Test,19
Data_Engineer,39
Python,7
Technical,22
with,1
Senior,0
Office,17
Lead,1
React,43
Specialist,6
Developer,-6
Regular,-2
Stack,-1
and,-2
Integration,12
Engineer,-9
AWS,21
DevOps,-7
Java,-11
Calypso,-1
Murex,-12
IT,1
Security,17
Angular,4
Solution,29
MxML,5
BA,0
Full,-11
Software,-16
engineer,49
C++,-12
Market,5
Android,-7
Network,5
Support,-17
Application,-1
Project_Manager,-10
QA,-19
Risk,-17
Front,-15
Automation,-22
Azure,-15
German,-8
Embedded,27
AI,48
Manual,-9
SME,2
NET,7
Architect,-25
speaker,-12
Master,3
Back,-1
Datamart,-3
Junior,-19
Tester,20
System,-27
Test_Manager,-8
or,-18
System_Analyst,-8
Ingolstadt,-17
Wolfsburg,-17
Net,-27
FO,-4
SAP,-30
developer,-41
BSW,130
Product,24
Cloud,-47
BI,11
support,-2
Designer,39
Functional,-38
Pega,-17
SQL,-10
ML,0
Capital,-35
Administrator,-31
Expert,-24
UI,2
Linux,-18
for,-38
Credit,-23
Management,-47
Networking,-21
experience,-40
Business,-17
C#,-55
Safety,-33
Microservices,15
in,-48
Finance,-17
Team,-12
Banking,-9
Environment,-7
Development,2
Scrum,-25
Fullstack,0
Tech,-29
End,-35
to,-5
relocation,-5
Service,-13
Appian,11
Frontend,37
Reporting,-20
PLC,-28
Trading,-43
Production,-9
UX,4
Testing,-39
onsite,-25
end,-8
Treasury,-10
Oracle,-15
Backend,1
Automotive,-22
consultant,0
Mainframe,-28
stack,-34
Scala,-32
GPU,4
Database,-24
Owner,-23
amp,0
ServiceNow,0
Data_Analyst,-40
Kernel,-20
Hogan,-17
Axiom,-52
Financial,-14
Machine,-5
Framework,-21
ETL,-38
Spark,-32
JavaScript,-21
Learning,-20
