,0
BSW,130
engineer,49
AI,48
React,43
Data_Engineer,39
Designer,39
Frontend,37
Solution,29
Embedded,27
Product,24
Business_Analyst,24
Technical,22
AWS,21
Tester,20
Test,19
Security,17
Office,17
Microservices,15
Integration,12
BI,11
Appian,11
Python,7
NET,7
Consultant,7
Specialist,6
Network,5
MxML,5
Market,5
UX,4
GPU,4
Angular,4
Master,3
UI,2
SME,2
Development,2
IT,1
with,1
Lead,1
Backend,1
amp,0
ServiceNow,0
consultant,0
Senior,0
Fullstack,0
BA,0
ML,0
Application,-1
Calypso,-1
Stack,-1
Back,-1
support,-2
and,-2
Regular,-2
Datamart,-3
FO,-4
Machine,-5
relocation,-5
to,-5
Developer,-6
Android,-7
Environment,-7
DevOps,-7
System_Analyst,-8
Test_Manager,-8
end,-8
German,-8
Engineer,-9
Manual,-9
Banking,-9
Production,-9
Project_Manager,-10
SQL,-10
Treasury,-10
Full,-11
Java,-11
Murex,-12
speaker,-12
C++,-12
Team,-12
Service,-13
Financial,-14
Azure,-15
Oracle,-15
Front,-15
Software,-16
Support,-17
Hogan,-17
Ingolstadt,-17
Wolfsburg,-17
Finance,-17
Risk,-17
Business,-17
Pega,-17
Linux,-18
or,-18
QA,-19
Junior,-19
Learning,-20
Reporting,-20
Kernel,-20
Framework,-21
Networking,-21
JavaScript,-21
Automotive,-22
Automation,-22
Credit,-23
Owner,-23
Expert,-24
Database,-24
onsite,-25
Architect,-25
Scrum,-25
System,-27
Net,-27
PLC,-28
Mainframe,-28
Tech,-29
SAP,-30
Administrator,-31
Spark,-32
Scala,-32
Safety,-33
stack,-34
Capital,-35
End,-35
ETL,-38
for,-38
Functional,-38
Testing,-39
Data_Analyst,-40
experience,-40
developer,-41
Trading,-43
Management,-47
Cloud,-47
in,-48
Axiom,-52
C#,-55
