,change
API,207
RabbitMQ,192
docker,127
laravel,51
rest api,248
solid,228
PHP,0
js,179
PostgreSQL,7
backend,137
Symfony,5
Redis,21
kafka,195
yii2,43
clickhouse,166
Bitrix,108
golang,141
SQL,-11
REST,34
vue.js,105
MySQL,-27
elasticsearch,131
Linux,-16
vuejs,142
kubernetes,132
Git,-31
1С-Битрикс,-25
HTML,-36
MongoDB,-8
JavaScript,-43
Битрикс24,91
Nginx,-10
CMS Wordpress,-1
HTML5,-34
CSS3,-29
CSS,-46
ci/cd,99
react,35
jQuery,-46
Yii,-46
NoSQL,10
JSON API,10
PHP7,-41
typescript,104
Bootstrap,-39
PHP5,-75
MVC,-56
MS SQL,-25
go,64
github,56
gitlab,48
Ajax,-58
Node.js,-31
Python,-29
MariaDB,74
Битрикс 24,3
PHPUnit,-9
Composer,-3
Memcached,-15
vue,-3
Sphinx,121
HTML/CSS,-30
XML,-44
Atlassian Jira,-50
SOAP,-7
Zend Framework,-39
Scrum,-13
Codeigniter,57
Unix,7
HTTP,2
Java,-29
Java Script,-31
AWS,40
Unit Testing,-40
Jetbrains Phpstorm,-21
Teamleading,-24
jira,9
