,change
kafka,85
RabbitMQ,81
REST,77
BPMN,125
API,153
UML,89
rest api,227
SOAP,121
spring boot,133
golang,53
Apache Kafka,434
kubernetes,48
ci/cd,63
XML,95
PostgreSQL,13
go,41
Redis,25
grpc,152
docker,7
gitlab,80
devops,93
MS SQL,29
Python,-2
SQL,-6
Java,-4
kotlin,41
typescript,38
clickhouse,114
it,52
postman,57
Spring Framework,-21
Linux,-25
PHP,-15
grafana,64
Git,-41
QA,66
Atlassian Jira,-12
JSON API,43
HTTP,61
.net core,11
C#,-17
laravel,40
MongoDB,-16
MySQL,-31
react,10
Jenkins,21
JavaScript,-38
.NET Framework,-13
ASP.NET,-2
Hibernate,61
Scrum,-22
ORACLE,22
Node.js,-31
Atlassian Confluence,6
Bash,-2
ansible,1
Django Framework,0
Symfony,-16
elasticsearch,31
Agile Project Management,23
NoSQL,20
Hibernate ORM,-34
Nginx,-4
HTML,-26
Microservices,26
openshift,43
Agile,37
backend,17
C++,2
Zabbix,28
ELK,30
solid,14
spring,12
Prometheus,-13
JUnit,18
Apache Maven,-2
SOA,52
graphql,-15
Flask,42
CSS,-25
Entity Framework,9
