,rank
ml,649.0
pandas,638.0
pytorch,637.0
numpy,637.0
Spark,624.0
Big Data,622.5
machine learning,621.5
pyspark,621.0
scikit-learn,620.0
docker,620.0
data science,619.0
nlp,619.0
PostgreSQL,617.0
A/B тесты,615.0
airflow,615.0
hadoop,613.5
scipy,612.0
computer vision,611.0
Python,609.5
SQL,608.5
mlflow,603.0
hive,598.0
clickhouse,594.0
sklearn,594.0
deep learning,593.0
tensorflow,592.0
Data Analysis,590.5
Git,589.0
keras,587.0
xgboost,585.0
data scientist,585.0
Linux,580.0
matplotlib,576.0
apache airflow,571.0
it,568.5
catboost,565.0
MS SQL,557.5
Data Mining,557.0
R,554.0
Power BI,547.0
Teamleading,547.0
C++,547.0
Java,545.0
API,544.0
opencv,542.5
scala,539.0
ETL,531.5
CV,526.5
ORACLE,525.0
sas,511.5
MongoDB,510.5
Mathematical Statistics,510.0
kafka,510.0
tableau,504.5
RecSys,501.5
MS SQL Server,497.5
plotly,496.0
JavaScript,491.0
MySQL,490.5
Agile Project Management,486.0
lightgbm,482.0
recommender systems,480.0
seaborn,478.5
Statistica,476.0
a/b-experiments,464.0
Oracle Pl/SQL,463.5
Google Analytics,462.5
Django Framework,461.0
aws,459.5
DL,457.0
bert,451.0
natural language processing,448.0
Apache Spark,446.0
elasticsearch,437.0
presto,432.0
VBA,430.0
dwh,426.0
azure,404.0
Analytical skills,381.0
Scrum,381.0
grafana,376.0
Unix,363.0
Time Series Analysis,355.0
PyCharm,349.0
jupyter notebook,330.0
OCR,327.0
neural nets,285.0
search ranking,276.0
SPSS,229.0
PHP,190.0
gpt-3,174.5
