,rank
ETL,401.0
dwh,398.0
clickhouse,395.0
airflow,394.0
PostgreSQL,385.5
ml,385.0
Power BI,383.0
Big Data,383.0
apache airflow,377.0
greenplum,377.0
pandas,375.0
A/B тесты,372.0
SQL,371.5
kubernetes,371.0
pyspark,370.0
Python,369.5
numpy,369.0
machine learning,366.0
pytorch,365.0
docker,357.0
Apache Kafka,353.0
MS Excel,352.5
Data Analysis,351.5
ORACLE,350.0
nlp,343.0
hadoop,343.0
BI,342.5
data science,341.5
kafka,337.0
Spark,335.0
MS SQL,334.0
MySQL,330.0
tensorflow,327.5
matplotlib,327.0
tableau,320.0
Git,319.5
Linux,313.0
API,312.5
NoSQL,310.0
Databases,308.5
Java,303.0
scikit-learn,301.0
computer vision,298.5
scipy,297.5
teradata,297.0
scala,295.0
hive,291.0
deep learning,290.0
MS SQL Server,289.0
ci/cd,288.5
R,286.5
aws,284.0
Data Mining,282.0
MS PowerPoint,280.0
Atlassian Confluence,279.5
PowerBI,275.0
MS Access,274.5
sklearn,272.0
it,271.5
Oracle Pl/SQL,271.0
SAP,270.0
MongoDB,270.0
Atlassian Jira,267.0
Agile Project Management,266.0
C++,265.0
Bash,261.0
C#,251.0
Google Analytics,244.0
Apache NiFi,241.5
JavaScript,241.0
Teamleading,238.0
keras,236.0
Scrum,235.0
Project management,230.5
Data Governance,229.5
vertica,226.0
grafana,226.0
Cognos,223.0
elasticsearch,222.0
MS Outlook,220.0
data engineer,216.0
data engineering,201.5
data scientist,200.5
Apache Hive,196.5
Business Intelligence Systems,196.5
C/C++,182.5
ansible,181.5
CRM,171.5
opencv,171.0
VBA,167.0
SSIS,155.0
REST,148.0
gitlab,147.0
BigQuery,144.0
UML,141.0
MS Power BI,136.0
Django Framework,136.0
DAX,135.0
Qlik Sense,134.5
Transact-SQL,121.5
rest api,116.5
informatica,109.5
golang,88.0
