,rank
typescript,358.0
rest api,348.0
frontend,344.0
vuejs,339.0
angular,338.0
docker,338.0
js,337.0
figma,335.0
scss,331.0
react,324.0
Next.js,322.0
PostgreSQL,322.0
API,322.0
Java Script,321.0
REST,317.5
webpack,315.0
graphql,312.0
HTML,310.5
vue.js,309.0
redux,307.5
JavaScript,306.0
ci/cd,305.0
SQL,304.5
mobx,302.5
vue,300.5
ReactJS,298.0
rxjs,298.0
gitlab,297.0
Git,294.0
react.js,292.5
jest,292.0
Nuxt,290.0
ES6,288.0
HTTP,286.0
react native,285.0
SSR,284.0
CSS,283.5
nuxt.js,283.0
Node.js,280.5
Sass,275.0
CSS3,274.0
Scrum,272.5
HTML5,272.0
HTML/CSS,271.0
websocket,271.0
MySQL,271.0
PHP,269.0
laravel,266.0
github,265.0
JSON API,264.0
UI,261.5
AngularJS,259.0
jQuery,257.0
Atlassian Jira,253.0
Bootstrap,252.0
Linux,250.0
Less,248.0
SASS/SCSS,241.0
Ajax,239.5
Python,239.5
React/Redux,239.0
Unit Testing,237.0
Java,237.0
solid,234.0
SPA,232.5
Gulp,232.5
vuex,227.5
websockets,227.0
Agile,222.0
JSON,222.0
UX,219.0
1С-Битрикс,218.5
Design Patterns,217.0
Adobe Photoshop,214.0
MongoDB,202.0
C#,201.0
jira,198.0
web,189.0
iOS,185.5
XML,185.5
Axios,185.5
npm,182.0
Redis,181.0
Nginx,180.0
SOAP,172.0
Android,168.5
BEM,164.0
MVC,162.5
React JS,153.0
redux-saga,141.5
kubernetes,140.5
ES6+,127.0
Material UI,125.5
Pug,124.0
Ext JS,119.0
Svelte,115.5
blockchain,102.0
Vuetify,95.0
English,84.5
Babel,68.5
