,rank
1С программирование,538.0
1С: Предприятие 8,534.0
MS Excel,530.5
Python,529.0
BPMN,526.0
SQL,524.0
1С: Бухгалтерия,521.0
Git,517.0
1С: Управление Торговлей,514.0
Java,509.0
Adobe Photoshop,507.0
QA,507.0
SMM,506.0
HTML,504.5
PostgreSQL,503.0
UML,502.0
MS Office,502.0
PHP,494.5
JavaScript,494.0
docker,490.0
Linux,481.5
CSS,479.5
MS Word,477.0
B2B Продажи,475.0
SEO,466.5
Adobe Illustrator,465.0
Test case,461.0
react,461.0
Internet Marketing,458.0
ERP-системы на базе 1С,457.0
1С: Документооборот,455.0
MS PowerPoint,452.0
CRM,446.0
Битрикс24,446.0
MySQL,445.5
MS SQL,445.5
Google Docs,442.0
Обновление конфигурации 1С,439.0
Atlassian Jira,439.0
REST,435.5
excel,435.0
AutoCAD,435.0
1C: Предприятие,434.0
1С: Зарплата и управление персоналом,430.0
ORACLE,429.0
C#,424.5
MS Outlook,424.0
1C: Бухгалтерия,423.0
XML,420.0
C++,416.0
Internet,414.0
SEO оптимизация,412.0
Scrum,409.0
Power BI,409.0
HR,402.0
ASP.NET,402.0
MS Access,400.0
Создание конфигурации 1С,398.5
Project management,398.0
Spring Framework,396.5
SMS маркетинг,393.0
Analytical skills,393.0
Business English,388.0
CSS3,386.0
Time management,385.0
Google Analytics,380.0
1С-Битрикс,379.5
Знание MS Office,374.0
Email маркетинг,373.0
Tilda,367.0
golang,365.0
1С: Предприятие,360.0
HTTP,360.0
ml,351.0
Atlassian Confluence,351.0
Social Media Marketing,345.0
Digital Marketing,339.5
SOAP,339.0
it,331.5
SAP,324.0
1С: Комплексная автоматизация,319.0
JDBC,319.0
Data Analysis,319.0
Autodesk Revit,311.0
MS SQL Server,307.0
MS Visio,301.0
HTML5,301.0
VBA,299.0
B2C продажи,298.0
kotlin,290.0
E-Mail Marketing,289.0
Business Development,286.0
ERP,283.5
C/C++,282.0
machine learning,282.0
Android,281.0
iOS,281.0
pandas,279.0
1С: Управление Производственным Предприятием,277.0
jQuery,271.0
TCP/IP,265.5
Знание 1С,250.0
Negotiation skills,245.0
Google AdWords,242.0
JSON API,237.5
Adobe After Effect,237.0
SEO-копирайтинг,236.0
data science,235.0
Node.js,229.0
CorelDRAW,226.0
WEB аналитика,224.5
laravel,222.5
1С: Розница,221.0
Bash,220.0
Sales Skills,218.0
1С: Управление предприятием,202.0
Helpdesk,198.0
Unity,190.0
go,185.0
Corporate Finance,181.0
1С: Управление персоналом,177.0
MongoDB,169.0
vue,156.0
Компас-3D,129.0
