,rank
spring boot,364.0
kafka,363.0
kubernetes,354.0
RabbitMQ,347.0
docker,346.5
Apache Kafka,343.0
Hibernate,341.0
kotlin,340.0
API,337.0
spring,334.0
QA,328.0
PostgreSQL,327.5
ci/cd,325.0
Gradle,321.0
Selenium,320.0
java core,319.5
ORACLE,319.0
Maven,319.0
rest api,313.0
Java,308.5
Jenkins,304.0
REST,302.5
SQL,301.5
JUnit,300.0
openshift,298.0
gitlab,297.0
SOAP,297.0
Redis,296.0
Multithread Programming,296.0
Design Patterns,296.0
react,293.0
Spring Framework,290.5
microservices,289.5
Linux,287.0
Git,286.0
Unit Testing,282.5
TeamCity,282.5
MySQL,273.5
Hibernate ORM,273.5
Scrum,272.0
Spring Data,271.0
Databases,271.0
Apache Maven,271.0
Spring Cloud,270.5
Python,269.0
Selenium IDE,269.0
MongoDB,267.5
XML,267.0
Java EE,267.0
JavaScript,266.0
Atlassian Jira,265.0
MS SQL,263.0
Java SE,261.5
NoSQL,261.0
JDBC,258.5
JPA,257.5
Spring MVC,256.0
Agile,251.5
TestNG,247.0
HTML,246.0
elasticsearch,245.0
angular,243.0
HTTP,243.0
selenide,242.0
Atlassian Confluence,234.0
Android,231.5
SVN,231.5
CSS,230.0
JSON API,229.5
Cucumber,229.5
Java Servlets,228.5
aws,226.5
camunda,225.5
Intellij IDEA,223.5
Liquibase,222.0
Oracle Pl/SQL,220.0
solid,219.0
Apache Tomcat,217.5
scala,216.0
grpc,216.0
Agile Project Management,215.5
JSP,215.5
clickhouse,212.0
C++,207.0
OOP,199.5
jira,195.0
Mockito,189.0
JMS,188.0
hadoop,186.0
JSON,185.0
Java 8,184.5
typescript,183.5
JVM,179.0
Java 11,177.0
jQuery,175.5
backend,173.0
C#,172.5
Groovy,172.5
Spring Security,170.0
Teamleading,166.5
graphql,153.0
Postgres,123.0
ORM,122.5
TDD,93.5
