,rank
fastapi,411.0
pytest,405.0
kubernetes,402.0
Django,401.0
kafka,399.0
docker,397.0
API,391.0
rest api,390.0
ci/cd,385.0
sqlalchemy,383.0
RabbitMQ,383.0
QA,381.0
celery,376.0
clickhouse,373.0
gitlab,366.0
Selenium,359.0
asyncio,357.0
NoSQL,356.0
Redis,356.0
Bash,354.5
Spark,351.0
Python,350.5
PostgreSQL,349.5
REST,349.0
react,347.0
ETL,347.0
backend,342.5
Flask,342.0
SQL,341.5
Linux,338.0
aiohttp,336.0
django rest framework,331.0
golang,330.0
Git,329.5
MongoDB,326.0
HTTP,322.0
Django Framework,321.0
redux,321.0
JavaScript,320.5
C++,314.5
TCP/IP,313.0
MySQL,313.0
pandas,312.0
angular,312.0
HTML,309.0
go,309.0
Unit Testing,309.0
Docker-compose,306.0
pyqt,306.0
typescript,305.0
aws,303.0
Nginx,301.0
it,301.0
numpy,300.5
elasticsearch,300.0
Atlassian Jira,298.0
Java,297.5
CSS,297.0
MS SQL,297.0
Jenkins,294.0
C#,287.0
vue.js,279.0
Scrum,271.5
ml,270.0
Sanic,266.0
pytorch,265.0
Big Data,263.5
PHP,263.0
Node.js,261.0
Test case,260.0
C/C++,254.5
ORM,253.0
XML,245.0
Unix,244.0
HTML5,243.0
JSON,243.0
Agile,241.0
airflow,239.0
azure,236.0
opencv,236.0
drf,235.0
js,233.5
jira,233.0
iOS,229.0
Android,225.5
Tornado,218.5
jQuery,218.0
graphql,216.0
solid,211.0
Selenium IDE,210.5
SOAP,210.0
ansible,206.0
swagger,205.5
gitlab ci,204.5
tensorflow,204.0
Qt,204.0
devops,175.0
MATLAB,168.5
ORACLE,164.0
English,150.0
Bootstrap,118.0
Data Analysis,117.0
