,rank
QA,386.0
REST,386.0
API,383.0
Git,377.0
Test case,376.0
Linux,371.0
docker,371.0
PostgreSQL,366.0
Java,365.0
rest api,361.0
Atlassian Jira,361.0
Python,359.0
SOAP,359.0
BPMN,354.0
JavaScript,352.5
MS Excel,352.0
PHP,350.0
Spring Framework,349.0
HTML,348.5
RabbitMQ,348.0
SQL,348.0
Atlassian Confluence,347.0
HTTP,341.0
Redis,340.0
MySQL,338.0
UML,337.5
kafka,332.0
XML,327.0
Power BI,325.0
CSS,322.5
kubernetes,320.0
Django Framework,320.0
JSON,318.0
C#,316.0
jira,304.0
MS SQL,303.5
react,303.0
ORACLE,294.0
Oracle Pl/SQL,294.0
Scrum,294.0
MS SQL Server,294.0
Администрирование серверов Windows,293.0
Node.js,288.0
JSON API,286.0
Transact-SQL,284.0
MS PowerPoint,281.0
ETL,278.0
tableau,278.0
.NET Framework,277.5
Zabbix,276.0
dwh,274.5
ASP.NET,274.0
laravel,272.0
hadoop,270.0
Cистемы управления базами данных,269.0
Active Directory,268.0
Data Analysis,266.0
ci/cd,265.0
clickhouse,265.0
Bash,261.5
.net core,256.0
HTML5,255.0
Администрирование серверов Linux,254.5
VBA,254.5
MongoDB,254.5
jQuery,253.0
Big Data,248.5
TCP/IP,248.0
Nginx,247.5
golang,247.0
go,243.0
C++,240.0
1С программирование,239.5
Ajax,238.5
Agile,237.0
BI,233.5
1С-Битрикс,233.5
Django,230.0
Android,227.0
Apache Maven,227.0
CSS3,226.5
MVC,223.5
Hibernate ORM,218.5
pandas,218.0
Jenkins,216.0
VMware,215.0
Entity Framework,213.5
Hyper-V,213.0
DHCP,210.5
NoSQL,209.0
1С: Предприятие 8,208.5
MS Visual Studio,207.0
Bootstrap,206.5
Agile Project Management,206.0
it,197.0
Настройка DNS,197.0
Confluence,191.0
1С: Управление Торговлей,187.0
Symfony,184.5
A/B тесты,180.5
JUnit,178.0
CRM,177.0
ml,176.0
Unix,171.0
Java SE,148.0
Power Query,147.0
