,rank
PostgreSQL,333.0
docker,330.0
SQL,329.0
rest api,326.0
API,322.0
Python,315.0
Redis,309.0
REST,308.5
typescript,307.0
vuejs,305.0
frontend,304.0
RabbitMQ,301.0
ci/cd,297.0
kubernetes,296.0
vue.js,294.0
kafka,293.0
Next.js,293.0
MySQL,291.5
react,291.5
scss,291.0
js,289.0
PHP,288.0
QA,286.0
gitlab,283.0
webpack,281.0
laravel,278.0
Linux,277.5
Java,277.5
HTML,277.5
nestjs,277.0
Node.js,276.0
figma,274.0
JavaScript,274.0
react native,271.5
.net core,269.0
Git,267.0
redux,264.0
C#,263.0
Java Script,261.5
angular,261.0
vue,261.0
jest,259.0
graphql,257.0
ReactJS,256.0
CSS,255.5
react.js,255.5
MongoDB,255.0
CSS3,253.0
ASP.NET,252.0
solid,252.0
HTTP,252.0
HTML5,249.0
mobx,244.5
MS SQL,242.0
github,242.0
Nuxt,241.0
ES6,240.5
Sass,240.0
nest.js,239.5
backend,238.0
JSON API,237.0
Scrum,233.0
AngularJS,229.0
JSON,228.5
Atlassian Jira,227.0
.NET Framework,225.0
Jenkins,216.0
Unit Testing,215.0
jQuery,210.0
nodejs,210.0
nuxt.js,208.0
Bootstrap,205.0
Less,204.0
rxjs,203.0
Nginx,203.0
SPA,201.0
Spring Framework,198.0
swagger,198.0
asp.net core,197.5
HTML/CSS,197.0
React/Redux,196.0
jira,193.5
websocket,190.5
aws,189.5
Entity Framework,188.0
golang,183.5
ES6+,177.5
NoSQL,176.0
Playwright,172.0
SSR,172.0
go,163.0
UI,160.0
MVC,159.5
Ajax,157.5
Symfony,156.5
Atlassian Confluence,152.5
Express.js,147.0
XML,141.5
kotlin,131.0
SASS/SCSS,129.0
Gulp,124.0
websockets,122.5
Android,122.0
Agile,121.5
Bash,118.5
C++,117.0
iOS,116.5
SOAP,115.0
Express,104.5
