,rank
telegram,987.0
seo,957.0
reels,948.0
ai,939.0
ui,936.5
figma,931.0
app,926.0
mini,910.0
ux,908.0
vpn,900.0
elementor,896.0
play,893.0
b2b,892.0
wb,892.0
frontend,887.5
tg,881.0
24,879.5
for,876.0
ozon,875.0
tilda,872.5
google,871.0
manager,869.0
blender,869.0
up,864.0
python,863.5
3d,863.0
битрикс24,860.5
mail,859.5
yandex,857.0
youtube,855.5
email,853.5
ads,853.0
wordpress,853.0
1c,852.5
ru,848.5
1с-битрикс,846.5
nuxt,845.5
pro,843.5
smm,843.0
adobe,839.5
data,838.0
whatsapp,837.0
1с,829.5
html,825.5
junior,823.5
fullstack,819.5
web,818.5
pdf,817.5
next,816.0
it,815.0
битрикс,815.0
c#,811.0
https,806.0
crm,804.5
excel,804.0
digital,802.5
flutter,800.0
wp,799.0
windows,799.0
ts,799.0
cloud,797.5
shopify,794.5
bitrix,793.5
senior,790.0
front,789.5
django,788.0
react,788.0
svg,785.5
js,785.0
node,780.0
design,779.5
hr,776.5
css,771.5
ms,771.0
api,770.0
full,769.0
tiktok,767.5
typescript,765.0
2d,765.0
android,762.5
php,760.0
opencart,759.0
web3,759.0
backend,757.0
amocrm,755.0
vk,754.0
modx,749.0
stack,748.0
mysql,741.5
cms,741.5
project,741.0
ios,741.0
laravel,733.0
iiko,732.5
joomla,732.0
unity,729.5
woocommerce,728.5
word,727.5
wildberries,727.0
middle,727.0
devops,721.0
xml,719.0
chrome,718.5
com,718.0
minecraft,718.0
kotlin,717.0
java,717.0
ar,714.0
gif,713.5
instagram,713.0
c++,712.5
sql,712.0
javascript,711.0
vue,710.0
developer,709.0
corel,708.0
dwg,708.0
facebook,707.0
yii2,706.5
script,703.5
to,703.5
nodejs,701.0
autocad,697.5
studio,697.0
yml,695.5
native,693.0
qa,690.5
end,687.0
nft,683.0
and,683.0
appstore,681.0
unreal,680.5
psd,680.0
back,679.5
photoshop,678.5
max,678.0
bitrix24,675.0
vr,673.5
golang,673.0
power,672.0
docker,671.5
postgresql,669.0
insales,669.0
go,669.0
bootstrap,668.5
of,668.5
english,667.5
description,665.0
server,664.5
fb,664.0
net,663.0
title,662.5
dle,662.0
page,661.0
open,660.0
warcraft,659.0
apps,657.0
landing,657.0
bi,655.5
wix,655.0
cs,653.0
vps,652.5
solidworks,648.5
access,648.0
stl,646.0
webasyst,646.0
store,646.0
drupal,643.5
ubuntu,640.0
microsoft,637.0
cart,634.0
webflow,633.0
erp,632.0
after,632.0
anylogic,632.0
crypto,631.5
discord,630.0
ip,629.5
powerpoint,629.5
notion,628.0
amo,624.5
sheets,622.5
engine,621.0
pr,619.0
effects,617.5
ssl,615.0
1с.,615.0
б24,613.5
mac,610.0
webview,607.0
mvp,606.5
angular,606.0
swift,606.0
time,605.0
reactjs,605.0
mobile,605.0
linux,604.5
apple,596.0
bot,593.5
ocstore,589.0
git,587.0
csv,585.0
symfony,578.0
p2p,577.5
adwords,573.0
ue5,570.0
ruby,567.5
yii,566.0
framework,559.5
aws,558.0
1с:,554.5
illustrator,551.0
on,550.5
cделать,549.5
art,547.0
asp,538.0
io,536.5
html5,534.5
mikrotik,534.0
apk,531.0
prestashop,530.5
xenforo,527.5
shop,527.0
jira,525.5
press,524.5
http,523.5
linkedin,520.0
analytics,518.5
kz,518.0
arduino,516.5
www,506.0
cisco,505.0
sms,505.0
sdk,504.0
jpg,503.5
draw,501.5
getcourse,500.5
qr,499.5
salebot,498.5
rest,498.5
solana,497.0
steam,495.5
call,488.0
amazon,484.5
visual,481.5
lp,480.0
firebase,473.5
stories,462.5
twitch,459.5
asterisk,459.0
ajax,459.0
zennoposter,458.0
nginx,457.0
vds,455.0
twitter,439.0
bubble,432.5
wpf,430.0
designer,409.0
webgl,405.0
desktop,393.5
org,381.0
in,373.5
delphi,361.5
core,360.5
forms,358.0
online,347.5
selenium,328.0
premiere,320.5
meta,316.5
cpa,312.0
txt,284.0
autodesk,222.0
lsi,182.5
