,rank
Business_Analyst,634.0
Data_Engineer,632.0
Test,622.5
React,622.0
Technical,618.5
Consultant,615.0
Office,609.0
Python,608.0
with,599.0
Lead,597.0
Senior,593.0
Integration,588.5
AWS,588.5
Specialist,587.5
Security,584.5
Angular,576.5
engineer,572.5
Solution,570.5
Developer,568.5
Market,562.5
IT,561.0
Stack,560.5
Back,560.5
Regular,560.0
and,559.0
MxML,558.0
Engineer,556.5
DevOps,555.0
Android,551.0
SME,550.5
Calypso,550.5
NET,548.5
BA,548.0
AI,547.0
Java,546.0
Credit,546.0
Tester,545.0
Murex,544.0
Datamart,540.0
FO,539.5
Application,533.5
Full,531.0
Software,527.5
C++,525.0
Linux,524.0
Test_Manager,522.0
Project_Manager,519.0
Support,517.5
Coordinator,516.5
SQL,516.0
QA,514.0
Manual,512.5
Front,512.5
Automation,512.5
Risk,511.5
Azure,510.5
Business,504.0
or,503.5
ML,502.5
Embedded,502.5
Network,501.0
Junior,500.5
Release,499.0
Architect,498.5
BI,494.5
System_Analyst,494.0
Product,489.5
Designer,485.5
Net,477.0
System,475.5
Microservices,473.0
Pega,473.0
Production,472.5
Team,465.0
support,463.0
German,455.0
Expert,454.5
Appian,447.5
end,447.5
Networking,446.0
JS,441.5
Automotive,436.5
Functional,435.5
for,435.0
SAP,434.5
BSW,433.5
developer,431.5
Wolfsburg,429.5
Ingolstadt,429.5
UI,428.5
Cloud,424.5
speaker,422.5
Tech,421.5
in,420.5
Database,417.0
Frontend,413.0
Management,412.0
relocation,411.5
Development,411.0
experience,410.5
Service,409.5
Oracle,409.5
End,408.0
C#,404.5
Scrum,404.0
Safety,398.5
Collateral,397.5
Accounting,395.0
Capital,395.0
Administrator,393.5
Treasury,393.5
Systems,393.5
Financial,393.0
Master,391.0
onsite,389.5
Kernel,387.5
Platform,385.0
QNX,383.5
to,378.5
Scala,378.0
Fullstack,374.0
Temenos,374.0
Markets,371.5
stack,368.0
Drivers,366.5
consultant,365.0
Techno,361.0
Performance,360.5
ServiceNow,360.5
Finance,360.5
API,359.0
IBM,355.5
GPU,353.0
PLC,352.5
UX,351.0
Machine,350.0
Learning,350.0
Testing,349.0
Environment,349.0
domain,347.0
Reporting,346.5
Cyber,345.5
ETL,343.5
Backend,342.5
Trading,337.5
Mainframe,336.5
Infrastructure,335.5
JavaScript,335.0
Management_Analyst,334.5
Owner,331.0
Spark,329.5
Integrator,329.0
MS,328.5
skills,326.5
Windows,322.5
Data_Analyst,322.0
Hogan,316.5
Axiom,312.0
AUTOSAR,299.5
Classic,298.5
Neoxam,297.0
MLC,295.5
Partner,295.0
Workday,294.0
Banking,288.0
Regulatory,284.5
MxTest,279.0
Framework,276.0
PostgreSQL,265.5
Power,258.5
iOS,253.5
Kafka,253.5
Director,253.0
Quality,250.5
ADAS,250.0
Data_Architect,247.0
Services,241.0
Principal,240.5
Intern,240.0
Now,239.5
platform,232.5
Trade,228.5
Audio,227.5
Environment_Manager,226.0
on,224.0
amp,223.5
function,222.0
Moody,218.5
Data_,214.0
Core,212.0
SDET,211.5
SW,208.5
Support_Analyst,198.5
Native,196.0
Identity,195.0
Kotlin,193.0
Technical_Analyst,190.0
Build,190.0
Eindhoven,184.5
Appium,175.5
Data_Scientist,175.5
Matrix,175.5
BSS,175.5
Access,175.5
Video,175.5
Product_Manager,175.5
MuleSoft,175.5
Prod,175.5
trading,175.5
data,175.0
js,173.5
Salesforce,171.5
Technician,164.5
Node,133.0
Triage,109.0
