,rank
RabbitMQ,328.0
API,327.0
docker,325.0
laravel,320.0
rest api,318.0
solid,316.0
js,312.0
backend,309.0
bitrix,306.0
clickhouse,305.0
PostgreSQL,302.5
PHP,301.5
yii2,301.0
Redis,301.0
kafka,301.0
Symfony,299.0
golang,298.0
vuejs,293.0
REST,291.5
vue.js,290.0
elasticsearch,290.0
kubernetes,288.0
Битрикс24,282.0
SQL,281.5
MySQL,278.5
Linux,278.0
ci/cd,277.0
react,272.0
Git,271.5
MongoDB,270.0
1С-Битрикс,267.5
HTML,264.0
typescript,262.0
JavaScript,261.5
go,261.0
CMS Wordpress,261.0
Nginx,260.5
NoSQL,257.0
JSON API,255.0
HTML5,254.0
gitlab,253.0
DDD,253.0
CSS3,253.0
CSS,251.5
jQuery,248.5
MariaDB,246.5
Composer,246.0
Yii,245.5
vue,241.0
php7,241.0
Bootstrap,239.5
MS SQL,238.5
PHPUnit,235.0
Node.js,234.5
MVC,234.5
PHP5,233.0
Bitrix24,233.0
Ajax,230.5
Memcached,229.0
github,227.0
Python,227.0
SOAP,225.5
Битрикс 24,217.0
HTML/CSS,216.0
Codeigniter,214.0
XML,208.5
highload,207.5
Atlassian Jira,207.5
Java,206.5
Zend Framework,206.5
Unix,205.0
Scrum,204.0
Java Script,200.5
Sphinx,197.0
aws,197.0
HTTP,193.0
ORM,185.5
AngularJS,184.0
JSON,183.5
Unit Testing,182.5
Teamleading,174.5
graphql,171.0
ReactJS,170.0
phpMyAdmin,165.5
Jetbrains Phpstorm,162.5
Joomla CMS,159.0
PSR,159.0
ORACLE,157.5
CRM,157.0
SVN,155.0
jira,146.5
PHP7+,146.0
Agile,143.0
bitrix framework,136.5
TDD,134.0
Cистемы управления базами данных,131.5
SEO,131.0
Atlassian Confluence,105.5
Bash,93.5
D7,89.5
Kibana,88.0
