id,name,val,date_added,val_noexp,res_vac
59,Python,1085,2020-11-20,7,10
62,Java,2835,2020-11-20,6,7
63,Javascript,1321,2020-11-20,7,5
64,php,2090,2020-11-20,7,6
65,Ruby,225,2020-11-20,3,4
67,1c,6687,2020-11-20,12,18
68,Data scientist,371,2020-11-20,11,13
69,Scala,121,2020-11-20,7,2
70,Swift,70,2020-11-20,7,5
71,Python,1095,2020-11-21,7,10
74,Java,2841,2020-11-21,6,7
75,Javascript,1330,2020-11-21,6,5
76,php,2085,2020-11-21,7,6
77,Ruby,224,2020-11-21,3,4
79,1c,6626,2020-11-21,12,18
80,Data scientist,368,2020-11-21,11,13
81,Scala,122,2020-11-21,8,2
82,Swift,68,2020-11-21,7,5
83,Python,1079,2020-11-22,7,10
86,Java,2808,2020-11-22,6,7
87,Javascript,1310,2020-11-22,6,5
88,php,2043,2020-11-22,7,6
89,Ruby,223,2020-11-22,3,4
91,1c,6516,2020-11-22,12,18
92,Data scientist,364,2020-11-22,11,13
93,Scala,119,2020-11-22,8,2
94,Swift,68,2020-11-22,7,5
95,Python,1065,2020-11-23,6,10
98,Java,2769,2020-11-23,6,7
99,Javascript,1297,2020-11-23,6,5
100,php,2006,2020-11-23,7,6
101,Ruby,219,2020-11-23,3,4
103,1c,6440,2020-11-23,12,18
104,Data scientist,354,2020-11-23,11,14
105,Scala,119,2020-11-23,8,2
106,Swift,68,2020-11-23,7,5
107,Python,1081,2020-11-24,7,10
110,Java,2834,2020-11-24,6,7
111,Javascript,1331,2020-11-24,6,5
112,php,2051,2020-11-24,7,6
113,Ruby,231,2020-11-24,2,4
115,1c,6595,2020-11-24,12,18
116,Data scientist,343,2020-11-24,11,14
117,Scala,122,2020-11-24,8,2
118,Swift,67,2020-11-24,7,5
119,Python,1128,2020-11-25,7,10
122,Java,2914,2020-11-25,6,6
123,Javascript,1384,2020-11-25,7,5
124,php,2099,2020-11-25,7,6
125,Ruby,249,2020-11-25,2,4
127,1c,6701,2020-11-25,12,18
128,Data scientist,343,2020-11-25,11,14
129,Scala,123,2020-11-25,7,2
130,Swift,66,2020-11-25,8,5
131,Python,1117,2020-11-26,6,10
134,Java,2898,2020-11-26,6,7
135,Javascript,1364,2020-11-26,7,5
136,php,2045,2020-11-26,7,6
137,Ruby,246,2020-11-26,2,4
139,1c,6686,2020-11-26,12,18
