tag,norm_val
Python,1.0
Django Framework,0.4033057851239669
Git,0.39669421487603307
SQL,0.343801652892562
PostgreSQL,0.32892561983471075
Linux,0.2975206611570248
MySQL,0.1206611570247934
JavaScript,0.10082644628099173
Английский — B1 — Средний,0.09256198347107437
Flask,0.08925619834710743
Docker,0.08264462809917356
Redis,0.08264462809917356
MongoDB,0.07768595041322314
Английский язык,0.06942148760330578
Английский — B2 — Средне-продвинутый,0.06611570247933884
ООП,0.05950413223140496
Работа в команде,0.05785123966942149
Обучение и развитие,0.05454545454545454
Atlassian Jira,0.05289256198347107
REST,0.0512396694214876
C++,0.04462809917355372
CSS,0.04297520661157025
AWS,0.04297520661157025
Базы данных,0.04297520661157025
HTML,0.03636363636363636
API,0.03636363636363636
Java,0.03471074380165289
RabbitMQ,0.02975206611570248
Nginx,0.02809917355371901
Тестирование,0.024793388429752067
REST API,0.023140495867768594
Jenkins,0.023140495867768594
Celery,0.021487603305785124
AngularJS,0.021487603305785124
MS SQL,0.021487603305785124
asyncio,0.019834710743801654
QA,0.019834710743801654
Agile Project Management,0.01818181818181818
CI/CD,0.01818181818181818
