,noExperience,between1And3,between3And6,moreThan6,mean
Python,130000,400000,1000000,,700000.0
QA,,450000,600000,,525000.0
Java,,375000,600000,,487500.0
Frontend,,375000,600000,,487500.0
C%23,,250000,700000,,475000.0
1С программист,100000,350000,600000,1100000,475000.0
Android,,400000,525000,,462500.0
Javascript,,300000,550000,,425000.0
DevOps,,325000,525000,,425000.0
php,,300000,500000,800000,400000.0
c%2B%2B,,475000,300000,,387500.0
iOS,,350000,275000,,312500.0
Ruby,,,,,
Golang,,,1000000,1000000,
Data scientist,,1000000,,,
Scala,,,,,
ABAP,,,260000,,
Rust,,,,,
Data engineer,,,120000,,
DBA,,,,,
