,noExperience,between1And3,between3And6,moreThan6,mean
Data scientist,223750,200000,337500,435000,268750.0
DBA,50000,200000,300000,450000,250000.0
Rust,400000,200000,300000,225000,250000.0
Data engineer,100000,190000,255000,400000,222500.0
Golang,75000,130000,290000,475000,210000.0
DevOps,80000,150000,250000,250000,200000.0
iOS,60000,120000,250000,307850,185000.0
Android,70000,115000,240000,200000,177500.0
1С программист,50000,140000,200000,250000,170000.0
ABAP,,130000,200000,,165000.0
Python,75000,120000,200000,260000,160000.0
Java,70000,100000,220000,290000,160000.0
c%2B%2B,85000,120000,200000,250000,160000.0
C%23,55000,100063,200000,350000,150031.5
Scala,,100000,200000,,150000.0
php,50000,105000,180000,200000,142500.0
Frontend,60000,100000,180000,250000,140000.0
Ruby,,120000,150000,400000,135000.0
Javascript,55000,100000,160000,287500,130000.0
QA,60000,100000,160000,300000,130000.0
