,noExperience,between1And3,between3And6,moreThan6,mean
программист,65000,110000,190000,250000,150000.0
машинист,70000,125084,170000,120000,147542.0
токарь,64834,100000,154000,135000,127000.0
чпу,70000,100000,150000,115000,125000.0
инженер,74400,100000,150000,150000,125000.0
директор,60000,100000,150000,200000,125000.0
нефть,68000,95000,145000,150000,120000.0
сварщик,90000,100000,130000,101700,115000.0
врач,70000,93500,130000,150000,111750.0
менеджер,70000,88500,120000,120000,104250.0
повар,64000,85000,100000,120000,92500.0
водитель,90000,90000,90000,100000,90000.0
слесарь,70000,90000,81000,82325,85500.0
финансист,70000,70000,100000,70000,85000.0
электрик,75000,80000,90000,85000,85000.0
бухгалтер,50000,70000,90000,115000,80000.0
юрист,50000,70000,90000,100000,80000.0
курьер,80000,90000,70000,76000,80000.0
комплектовщик,72400,75000,80000,65000,77500.0
разнорабочий,75000,70000,83100,67500,76550.0
тракторист,65000,75000,75000,95000,75000.0
матрос,50000,88400,60000,,74200.0
сантехник,60000,70000,75000,65000,72500.0
медсестра,60000,70000,70000,79950,70000.0
охранник,41000,50000,87500,140000,68750.0
продавец,50000,60000,65000,52500,62500.0
психолог,35952,50000,70000,62500,60000.0
дворник,40000,50000,63500,70000,56750.0
уборщица,40000,50000,63500,70000,56750.0
учитель,40000,50000,60000,50000,55000.0
санитарка,37000,50000,35500,70000,42750.0
