tag,norm_val
SQL,1.0
Python,0.9816933638443935
Java,0.5560640732265446
Spark,0.425629290617849
SCALA,0.37528604118993136
Hadoop,0.37299771167048057
Linux,0.3684210526315789
Git,0.2700228832951945
Big Data,0.2311212814645309
PostgreSQL,0.20823798627002288
ETL,0.17391304347826086
Английский — B2 — Средне-продвинутый,0.16475972540045766
Английский язык,0.16247139588100687
Data Mining,0.15331807780320367
ORACLE,0.14645308924485126
Английский — B1 — Средний,0.13958810068649885
Kafka,0.13043478260869565
MS SQL,0.12356979405034325
C++,0.11212814645308924
Docker,0.10526315789473684
Bash,0.09839816933638444
ООП,0.09610983981693363
Hive,0.09382151029748284
Spring Framework,0.09382151029748284
Kubernetes,0.08009153318077804
MS SQL Server,0.07551487414187644
DWH,0.07551487414187644
Базы данных,0.07322654462242563
Oracle Pl/SQL,0.06636155606407322
Английский — C1 — Продвинутый,0.06636155606407322
Atlassian Jira,0.06407322654462243
Математическая статистика,0.06407322654462243
AWS,0.06407322654462243
JavaScript,0.06178489702517163
hadoop,0.06178489702517163
Анализ данных,0.057208237986270026
Unix,0.057208237986270026
NoSQL,0.05491990846681922
Работа с базами данных,0.05034324942791762
