tag,norm_val
Английский язык,1.0
Работа в команде,0.8698630136986302
MS PowerPoint,0.7534246575342466
Грамотная речь,0.6438356164383562
Пользователь ПК,0.4452054794520548
MS Excel,0.3904109589041096
Английский — B2 — Средне-продвинутый,0.3835616438356164
SQL,0.3698630136986301
Ведение переговоров,0.3493150684931507
Активные продажи,0.3424657534246575
Английский — B1 — Средний,0.3013698630136986
Обучение и развитие,0.2671232876712329
Работа с большим объемом информации,0.2671232876712329
Деловое общение,0.2328767123287671
Телефонные переговоры,0.22602739726027396
Грамотность,0.2191780821917808
Аналитическое мышление,0.2054794520547945
Деловая переписка,0.19863013698630136
Навыки продаж,0.1917808219178082
HTML,0.18493150684931506
MS Outlook,0.18493150684931506
Ориентация на результат,0.18493150684931506
Английский — C1 — Продвинутый,0.18493150684931506
Подготовка презентаций,0.1780821917808219
Analytical skills,0.15753424657534246
Деловая коммуникация,0.1506849315068493
Холодные продажи,0.14383561643835616
Поиск и привлечение клиентов,0.14383561643835616
Умение работать в команде,0.14383561643835616
Поиск информации в интернет,0.136986301369863
JavaScript,0.13013698630136986
Business English,0.13013698630136986
MS SQL,0.13013698630136986
CRM,0.1232876712328767
Клиентоориентированность,0.1232876712328767
Работа с базами данных,0.11643835616438356
Подбор персонала,0.11643835616438356
Linux,0.11643835616438356
Организаторские навыки,0.1095890410958904
