tag,norm_val
Python,1.0
Git,0.427536231884058
Django Framework,0.3969404186795491
SQL,0.35909822866344604
PostgreSQL,0.33172302737520126
Linux,0.32367149758454106
JavaScript,0.11674718196457327
MySQL,0.10144927536231885
Английский — B1 — Средний,0.0998389694041868
ООП,0.09420289855072464
Redis,0.08856682769726248
Английский язык,0.08695652173913043
Flask,0.08373590982286634
Английский — B2 — Средне-продвинутый,0.07729468599033816
Docker,0.07648953301127215
MongoDB,0.07085346215780998
C++,0.04589371980676329
Работа в команде,0.0426731078904992
CSS,0.04186795491143317
HTML,0.039452495974235106
REST,0.03542673107890499
RabbitMQ,0.03542673107890499
Atlassian Jira,0.03542673107890499
Английский — C1 — Продвинутый,0.0322061191626409
Nginx,0.0322061191626409
Базы данных,0.030595813204508857
Java,0.029790660225442835
PHP,0.028985507246376812
Unit Testing,0.028985507246376812
MS SQL,0.027375201288244767
Веб-программирование,0.021739130434782608
Scrum,0.021739130434782608
API,0.021739130434782608
AWS,0.020933977455716585
HTML5,0.020933977455716585
Unix,0.01932367149758454
Celery,0.017713365539452495
REST API,0.017713365539452495
Bash,0.016908212560386472
